condition,factor,low,high,measure,effect,ci_low,ci_high,mean_at_low,mean_at_high
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",d_network_profit,-21537.675458335878,-65582.22177063275,22506.870853960994,278770612.19904226,278749074.52358395
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",d_network_profit_with_inventory,-20624.456843630473,-62801.471088854785,21552.557401593844,253259780.2310386,253239155.774195
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",d_satisfaction_index,-1.3522430047120207e-07,-4.1175799493481034e-07,1.4130939399240618e-07,0.0001891197352599678,0.00018898451095949662
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",d_fill_rate,-3.8880149231419284e-07,-1.1839005440967173e-06,4.0629755946833163e-07,0.0003336834683312424,0.00033329466683892824
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",costs_tech,4811.458458333214,-5027.974088958206,14650.891005624635,38310965.6348125,38315777.09327083
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adoptions,0.020833333333333332,-0.021770833333333333,0.0634375,55.60208333333333,55.62291666666667
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",coalitions,0.004166666666666667,-0.004354166666666665,0.012687499999999997,1.11875,1.1229166666666666
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",mean_adopt_week,0.012979876160990738,-0.013563970588235311,0.03952372291021679,46.200272412362,46.21325228852299
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_ml_forecast,-0.0020833333333333333,-0.006343749999999999,0.0021770833333333325,14.916666666666666,14.914583333333333
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_control_tower,0.0020833333333333333,-0.0021770833333333325,0.006343749999999999,8.927083333333334,8.929166666666667
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_rfid,0.0,0.0,0.0,21.779166666666665,21.779166666666665
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_aps,0.0,0.0,0.0,0.0,0.0
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_routing,0.0020833333333333333,-0.0021770833333333325,0.006343749999999999,5.55625,5.558333333333334
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_wh_robotics,0.0,0.0,0.0,0.0,0.0
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_blockchain,0.01875,-0.019593750000000004,0.05709375,4.422916666666667,4.441666666666666
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_risk_intel,0.0,0.0,0.0,0.0,0.0
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",formed_dyad,0.0020833333333333333,-0.0021770833333333325,0.006343749999999999,0.08125,0.08333333333333333
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",formed_triad,0.0,0.0,0.0,0.010416666666666666,0.010416666666666666
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",formed_chain,0.0020833333333333333,-0.0021770833333333325,0.006343749999999999,1.0270833333333333,1.0291666666666666
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",formed_network,0.0,0.0,0.0,0.0,0.0
