condition,factor,low,high,measure,effect,ci_low,ci_high,mean_at_low,mean_at_high
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",d_network_profit,-215025.97547914187,-536509.7633348466,106457.8123765628,515741003.9026044,515525977.9271253
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",d_network_profit_with_inventory,-46561.89563934008,-140428.07697477975,47304.28569609959,461201354.03035223,461154792.1347129
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",d_satisfaction_index,1.8635194860214254e-07,-4.122294829354523e-07,7.849333801397374e-07,0.0004559259074681125,0.00045611225941671467
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",d_fill_rate,3.7723788555756496e-07,-6.991000054414843e-07,1.4535757765566143e-06,0.0003367438550739075,0.00033712109295946506
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",costs_tech,-5392.70837499996,-11605.182781844465,819.7660318445451,48585028.138,48579635.429625005
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adoptions,-0.010416666666666666,-0.022799958792773828,0.0019666254594404974,61.952083333333334,61.94166666666667
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",coalitions,-0.00625,-0.013370255623226333,0.0008702556232263311,4.516666666666667,4.510416666666667
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",mean_adopt_week,-0.013639459936321903,-0.031606932429138646,0.004328012556494841,30.926861542581648,30.913222082645326
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_ml_forecast,0.0,0.0,0.0,12.975,12.975
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_control_tower,-0.0020833333333333333,-0.00634375,0.0021770833333333334,14.066666666666666,14.064583333333333
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_rfid,0.0,0.0,0.0,17.95625,17.95625
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_aps,0.0,0.0,0.0,0.0,0.0
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_routing,0.0,0.0,0.0,6.004166666666666,6.004166666666666
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_wh_robotics,0.0,0.0,0.0,0.0,0.0
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_blockchain,-0.008333333333333333,-0.020174025354828228,0.0035073586881615593,10.95,10.941666666666666
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_risk_intel,0.0,0.0,0.0,0.0,0.0
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",formed_dyad,-0.008333333333333333,-0.018464862523955128,0.0017981958572884597,2.6354166666666665,2.627083333333333
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",formed_triad,0.0,0.0,0.0,0.1125,0.1125
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",formed_chain,0.0020833333333333333,-0.0021770833333333334,0.00634375,1.76875,1.7708333333333333
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",formed_network,0.0,0.0,0.0,0.0,0.0
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",failed_acceptance,0.041666666666666664,-0.005537254348894051,0.08887058768222739,88.57708333333333,88.61875
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",failed_budget,-0.00625,-0.013370255623226333,0.0008702556232263311,0.00625,0.0
calm,horizon_weeks,"(13, 52)","(52, 156)",d_network_profit,115285151.12556252,92964480.02811216,137605822.2230129,457990915.35208356,573276066.4776461
calm,horizon_weeks,"(13, 52)","(52, 156)",d_network_profit_with_inventory,97094438.44747971,73682865.2235175,120506011.67144191,412630853.8587925,509725292.3062724
calm,horizon_weeks,"(13, 52)","(52, 156)",d_satisfaction_index,0.00021855672500883545,0.00013555030165842677,0.00030156314835924413,0.0003467407209379959,0.0005652974459468313
calm,horizon_weeks,"(13, 52)","(52, 156)",d_fill_rate,-7.363298810408175e-05,-0.00015860667362748723,1.1340697419323732e-05,0.00037374896806872715,0.0003001159799646454
calm,horizon_weeks,"(13, 52)","(52, 156)",costs_tech,14535980.22495833,13322699.298959017,15749261.150957644,41314341.67133333,55850321.89629166
calm,horizon_weeks,"(13, 52)","(52, 156)",adoptions,22.89375,20.960876351208068,24.826623648791934,50.5,73.39375
calm,horizon_weeks,"(13, 52)","(52, 156)",coalitions,2.3520833333333333,2.1030452307540117,2.601121435912655,3.3375,5.689583333333333
calm,horizon_weeks,"(13, 52)","(52, 156)",mean_adopt_week,-0.10013750974082178,-1.9409954711458164,1.740720451664173,30.970110567483896,30.869973057743078
calm,horizon_weeks,"(13, 52)","(52, 156)",adopt_ml_forecast,1.4666666666666666,1.239368553143042,1.693964780190291,12.241666666666667,13.708333333333334
calm,horizon_weeks,"(13, 52)","(52, 156)",adopt_control_tower,9.647916666666667,8.454855983523958,10.840977349809377,9.241666666666667,18.889583333333334
calm,horizon_weeks,"(13, 52)","(52, 156)",adopt_rfid,0.0875,0.000705108308272348,0.17429489169172763,17.9125,18.0
calm,horizon_weeks,"(13, 52)","(52, 156)",adopt_aps,0.0,0.0,0.0,0.0,0.0
calm,horizon_weeks,"(13, 52)","(52, 156)",adopt_routing,2.8666666666666667,2.5544480908955998,3.1788852424377336,4.570833333333334,7.4375
calm,horizon_weeks,"(13, 52)","(52, 156)",adopt_wh_robotics,0.0,0.0,0.0,0.0,0.0
calm,horizon_weeks,"(13, 52)","(52, 156)",adopt_blockchain,8.825,7.291073717027174,10.358926282972824,6.533333333333333,15.358333333333333
calm,horizon_weeks,"(13, 52)","(52, 156)",adopt_risk_intel,0.0,0.0,0.0,0.0,0.0
calm,horizon_weeks,"(13, 52)","(52, 156)",formed_dyad,0.7958333333333333,0.5943550898206504,0.9973115768460161,2.2333333333333334,3.029166666666667
calm,horizon_weeks,"(13, 52)","(52, 156)",formed_triad,0.13333333333333333,0.07463952511981423,0.19202714154685244,0.04583333333333333,0.17916666666666667
calm,horizon_weeks,"(13, 52)","(52, 156)",formed_chain,1.4229166666666666,1.23248197406801,1.6133513592653232,1.0583333333333333,2.48125
calm,horizon_weeks,"(13, 52)","(52, 156)",formed_network,0.0,0.0,0.0,0.0,0.0
calm,horizon_weeks,"(13, 52)","(52, 156)",failed_acceptance,-12.545833333333333,-18.19122418862571,-6.900442478040956,94.87083333333334,82.325
calm,horizon_weeks,"(13, 52)","(52, 156)",failed_budget,0.00625,-0.0008702556232263311,0.013370255623226333,0.0,0.00625
calm,chain_accept_share,0.4,0.8,d_network_profit,-13695492.715229083,-23402595.508288853,-3988389.922169311,522481237.2724795,508785744.5572502
calm,chain_accept_share,0.4,0.8,d_network_profit_with_inventory,-3292922.051921002,-10028382.116883606,3442538.013041601,462824534.1084929,459531612.0565721
calm,chain_accept_share,0.4,0.8,d_satisfaction_index,-5.303629675634108e-06,-5.270346099429094e-05,4.209620164302272e-05,0.0004586708982802307,0.00045336726860459656
calm,chain_accept_share,0.4,0.8,d_fill_rate,-1.3003501885743933e-05,-0.00010060812175454625,7.460111798305837e-05,0.00034343422495955824,0.0003304307230738143
calm,chain_accept_share,0.4,0.8,costs_tech,-7843792.709541666,-8907425.443398777,-6780159.975684556,52504228.13858333,44660435.42904167
calm,chain_accept_share,0.4,0.8,adoptions,-8.69375,-9.898024688255656,-7.489475311744344,66.29375,57.6
calm,chain_accept_share,0.4,0.8,coalitions,-1.0604166666666666,-1.208697824868052,-0.9121355084652811,5.04375,3.9833333333333334
calm,chain_accept_share,0.4,0.8,mean_adopt_week,1.7520084215481375,0.5007370535829552,3.0032797895133196,30.044037601839413,31.796046023387547
calm,chain_accept_share,0.4,0.8,adopt_ml_forecast,-0.13333333333333333,-0.23435165745302058,-0.03231500921364608,13.041666666666666,12.908333333333333
calm,chain_accept_share,0.4,0.8,adopt_control_tower,-8.347916666666666,-9.392682520403802,-7.30315081292953,18.239583333333332,9.891666666666667
calm,chain_accept_share,0.4,0.8,adopt_rfid,0.004166666666666667,-0.010760523823319369,0.019093857156652703,17.954166666666666,17.958333333333332
calm,chain_accept_share,0.4,0.8,adopt_aps,0.0,0.0,0.0,0.0,0.0
calm,chain_accept_share,0.4,0.8,adopt_routing,-0.325,-0.494207708875264,-0.15579229112473603,6.166666666666667,5.841666666666667
calm,chain_accept_share,0.4,0.8,adopt_wh_robotics,0.0,0.0,0.0,0.0,0.0
calm,chain_accept_share,0.4,0.8,adopt_blockchain,0.10833333333333334,-0.1774597249699248,0.39412639163659147,10.891666666666667,11.0
calm,chain_accept_share,0.4,0.8,adopt_risk_intel,0.0,0.0,0.0,0.0,0.0
calm,chain_accept_share,0.4,0.8,formed_dyad,-0.04583333333333333,-0.14999970215474656,0.05833303548807991,2.654166666666667,2.6083333333333334
calm,chain_accept_share,0.4,0.8,formed_triad,-0.016666666666666666,-0.07380424995761012,0.04047091662427679,0.12083333333333333,0.10416666666666667
calm,chain_accept_share,0.4,0.8,formed_chain,-0.9979166666666667,-1.0952911258931823,-0.900542207440151,2.26875,1.2708333333333333
calm,chain_accept_share,0.4,0.8,formed_network,0.0,0.0,0.0,0.0,0.0
calm,chain_accept_share,0.4,0.8,failed_acceptance,55.50833333333333,49.91997423720837,61.096692429458294,60.84375,116.35208333333334
calm,chain_accept_share,0.4,0.8,failed_budget,-0.0020833333333333333,-0.009546928578326352,0.005380261911659686,0.004166666666666667,0.0020833333333333333
calm,cost_split,equal,by_size,d_network_profit,5624114.486812576,-3719807.013537093,14968035.987162244,512821433.67145854,518445548.158271
calm,cost_split,equal,by_size,d_network_profit_with_inventory,9210038.697500976,887913.7307278942,17532163.66427406,456573053.73378193,465783092.431283
calm,cost_split,equal,by_size,d_satisfaction_index,3.4740918256522214e-05,6.895303130444412e-06,6.258653338260002e-05,0.0004386486243141525,0.0004733895425706747
calm,cost_split,equal,by_size,d_fill_rate,6.445028568839254e-06,-1.601517933184253e-05,2.8905236469521036e-05,0.00033370995973226665,0.0003401549883011059
calm,cost_split,equal,by_size,costs_tech,409903.0990416666,19746.135316496948,800060.0627668363,48377380.23429167,48787283.333333336
calm,cost_split,equal,by_size,adoptions,2.377083333333333,1.8124795924070178,2.9416870742596486,60.75833333333333,63.135416666666664
calm,cost_split,equal,by_size,coalitions,-0.06458333333333334,-0.14938300890700887,0.02021634224034219,4.545833333333333,4.48125
calm,cost_split,equal,by_size,mean_adopt_week,-0.6195558372691534,-1.1116725249454658,-0.12743914959284097,31.229819731248053,30.61026389397891
calm,cost_split,equal,by_size,adopt_ml_forecast,0.008333333333333333,-0.039029434752646225,0.05569610141931289,12.970833333333333,12.979166666666666
calm,cost_split,equal,by_size,adopt_control_tower,1.38125,0.9068689991676518,1.8556310008323482,13.375,14.75625
calm,cost_split,equal,by_size,adopt_rfid,0.0125,-0.009932676858103999,0.034932676858104,17.95,17.9625
calm,cost_split,equal,by_size,adopt_aps,0.0,0.0,0.0,0.0,0.0
calm,cost_split,equal,by_size,adopt_routing,-0.1,-0.19366236517099752,-0.006337634829002486,6.054166666666666,5.954166666666667
calm,cost_split,equal,by_size,adopt_wh_robotics,0.0,0.0,0.0,0.0,0.0
calm,cost_split,equal,by_size,adopt_blockchain,1.075,0.5793247345791803,1.5706752654208196,10.408333333333333,11.483333333333333
calm,cost_split,equal,by_size,adopt_risk_intel,0.0,0.0,0.0,0.0,0.0
calm,cost_split,equal,by_size,formed_dyad,-0.225,-0.3301828835014568,-0.11981711649854321,2.74375,2.51875
calm,cost_split,equal,by_size,formed_triad,-0.008333333333333333,-0.05725621362462616,0.040589546957959494,0.11666666666666667,0.10833333333333334
calm,cost_split,equal,by_size,formed_chain,0.16875,0.0867267246623955,0.2507732753376045,1.6854166666666666,1.8541666666666667
calm,cost_split,equal,by_size,formed_network,0.0,0.0,0.0,0.0,0.0
calm,cost_split,equal,by_size,failed_acceptance,-2.7583333333333333,-4.8754593313337455,-0.6412073353329206,89.97708333333334,87.21875
calm,cost_split,equal,by_size,failed_budget,-0.00625,-0.013370255623226333,0.0008702556232263311,0.00625,0.0
calm,max_new_per_quarter,1,2,d_network_profit,91758944.25439566,65358871.68864077,118159016.82015055,469754018.7876671,561512963.0420628
calm,max_new_per_quarter,1,2,d_network_profit_with_inventory,84260921.40502474,59782318.33245839,108739524.47759108,419047612.38002,503308533.78504485
calm,max_new_per_quarter,1,2,d_satisfaction_index,7.101766571936928e-05,-2.2819672521949316e-05,0.0001648550039606879,0.00042051025058272896,0.0004915279163020983
