condition,point,budget_share,horizon_weeks,chain_accept_share,cost_split,max_new_per_quarter,d_network_profit,d_satisfaction_index,d_fill_rate,costs_tech,adoptions,coalitions,mean_adopt_week,adopt_ml_forecast,adopt_control_tower,adopt_rfid,adopt_aps,adopt_routing,adopt_wh_robotics,adopt_blockchain,adopt_risk_intel,formed_dyad,formed_triad,formed_chain,formed_network,failed_acceptance,failed_budget,failed_held,failed_quota,failed_no_eligible_partners
calm,default,"(0.02, 0.1)","(26, 104)",0.6,equal,1,189931072.7970005,0.00010058989357895522,4.51181499007832e-05,43919533.335,52.7,3.8666666666666667,41.46876161563004,11.9,13.666666666666666,17.6,0.0,2.8333333333333335,0.0,6.7,0.0,1.9,0.5666666666666667,1.4,0.0,80.56666666666666,0.0,9.066666666666666,0.0,72.76666666666667
calm,p00000,"(0.01, 0.04)","(13, 52)",0.4,equal,1,184744997.14466718,0.000174351965686837,0.00019360577553732591,40270833.33166667,47.36666666666667,3.466666666666667,35.34233170804668,10.6,10.766666666666667,17.533333333333335,0.0,2.1333333333333333,0.0,6.333333333333333,0.0,1.3333333333333333,0.5,1.6333333333333333,0.0,55.4,0.0,6.733333333333333,0.13333333333333333,38.166666666666664
calm,p00001,"(0.01, 0.04)","(13, 52)",0.4,equal,2,192879434.99466667,6.50523741922761e-05,3.137891585826862e-05,47021816.669999994,50.43333333333333,3.2666666666666666,23.7432899725874,11.966666666666667,13.033333333333333,17.8,0.0,2.1333333333333333,0.0,5.5,0.0,0.6,0.16666666666666666,2.5,0.0,54.96666666666667,0.0,3.066666666666667,0.06666666666666667,45.2
calm,p00010,"(0.01, 0.04)","(13, 52)",0.4,by_size,1,182097976.7766669,0.00020068351155751936,0.00024866290043105114,39193350.0,47.46666666666667,3.5,35.91183811961417,10.7,10.866666666666667,17.5,0.0,2.066666666666667,0.0,6.333333333333333,0.0,1.3333333333333333,0.4666666666666667,1.7,0.0,53.56666666666667,0.0,7.033333333333333,0.06666666666666667,36.3
calm,p00011,"(0.01, 0.04)","(13, 52)",0.4,by_size,2,268322823.26966745,0.0003890399512740021,0.00021482041477671865,46593233.333333336,53.06666666666667,3.6,23.360698058966545,11.933333333333334,13.233333333333333,17.8,0.0,2.2666666666666666,0.0,7.833333333333333,0.0,1.0333333333333334,0.13333333333333333,2.433333333333333,0.0,58.8,0.0,4.933333333333334,0.06666666666666667,38.4
calm,p00100,"(0.01, 0.04)","(13, 52)",0.8,equal,1,159558847.5253334,3.900264095786335e-05,-5.9121500894259425e-05,28532233.338,35.8,2.3333333333333335,29.790810374123065,9.833333333333334,0.0,17.6,0.0,2.033333333333333,0.0,6.333333333333333,0.0,1.3333333333333333,0.4666666666666667,0.5333333333333333,0.0,113.7,0.0,0.0,0.0,34.63333333333333
calm,p00101,"(0.01, 0.04)","(13, 52)",0.8,equal,2,175029781.4110003,0.00010817372847816815,0.0001131558853689787,37172299.99966667,41.733333333333334,1.8333333333333333,25.476552888238963,11.966666666666667,4.4,17.8,0.0,2.066666666666667,0.0,5.5,0.0,0.6,0.1,1.1333333333333333,0.0,121.83333333333333,0.0,0.0,0.0,43.766666666666666
calm,p00110,"(0.01, 0.04)","(13, 52)",0.8,by_size,1,159558847.52433357,3.900264095786335e-05,-5.9121500894259425e-05,28532233.333333332,35.8,2.3333333333333335,29.790810374123065,9.833333333333334,0.0,17.6,0.0,2.033333333333333,0.0,6.333333333333333,0.0,1.3333333333333333,0.4666666666666667,0.5333333333333333,0.0,113.7,0.0,0.0,0.0,34.63333333333333
calm,p00111,"(0.01, 0.04)","(13, 52)",0.8,by_size,2,253240764.86266682,0.0003504137118162142,0.00012694533932130705,38708033.333333336,44.93333333333333,2.2333333333333334,25.337307035029255,11.9,5.3,17.8,0.0,2.1,0.0,7.833333333333333,0.0,0.9333333333333333,0.1,1.2,0.0,115.96666666666667,0.0,1.9666666666666666,0.0,37.733333333333334
calm,p01000,"(0.01, 0.04)","(52, 156)",0.4,equal,1,213132255.28233337,0.00015691186930358523,0.00014596117521844902,49269299.99766667,59.13333333333333,4.933333333333334,37.52920585333051,12.466666666666667,19.166666666666668,17.6,0.0,3.3666666666666667,0.0,6.533333333333333,0.0,1.8,0.6,2.533333333333333,0.0,66.5,0.0,9.733333333333333,0.8333333333333334,105.16666666666667
calm,p01001,"(0.01, 0.04)","(52, 156)",0.4,equal,2,315595663.88766706,0.00038766081226244167,-6.207043127272957e-05,56230416.673,67.63333333333334,3.966666666666667,21.142532358008964,13.533333333333333,22.966666666666665,18.0,0.0,3.7333333333333334,0.0,9.4,0.0,1.1333333333333333,0.1,2.7333333333333334,0.0,88.06666666666666,0.0,15.2,0.5,87.23333333333333
calm,p01010,"(0.01, 0.04)","(52, 156)",0.4,by_size,1,232951817.91366667,0.0001520275935519481,4.2934593505154886e-05,51001383.333333336,63.833333333333336,4.9,35.27131493971604,12.466666666666667,22.866666666666667,17.566666666666666,0.0,3.6333333333333333,0.0,7.3,0.0,1.8666666666666667,0.43333333333333335,2.6,0.0,60.06666666666667,0.0,10.433333333333334,4.2,99.96666666666667
calm,p01011,"(0.01, 0.04)","(52, 156)",0.4,by_size,2,300927866.44300044,0.0004834923163970173,0.00013276100792824504,56374033.333333336,71.56666666666666,3.5,20.10276352963049,13.7,26.166666666666668,18.0,0.0,3.6666666666666665,0.0,10.033333333333333,0.0,0.9333333333333333,0.0,2.566666666666667,0.0,97.1,0.0,18.0,0.5,80.96666666666667
calm,p01100,"(0.01, 0.04)","(52, 156)",0.8,equal,1,182026348.80600026,0.0001042860389647962,4.5955598915598386e-05,37096116.66833333,46.0,3.1333333333333333,37.64671819989644,12.066666666666666,6.6,17.6,0.0,3.066666666666667,0.0,6.666666666666667,0.0,1.8,0.4666666666666667,0.8666666666666667,0.0,144.53333333333333,0.0,0.0,0.0,99.0
calm,p01101,"(0.01, 0.04)","(52, 156)",0.8,equal,2,335236920.9800002,0.00038014069692632525,-0.0001256852121075165,54241050.022,61.4,4.233333333333333,25.28325216215381,13.6,16.333333333333332,18.0,0.0,3.6,0.0,9.866666666666667,0.0,1.9333333333333333,0.3,2.0,0.0,100.66666666666667,0.0,3.7333333333333334,0.0,102.9
calm,p01110,"(0.01, 0.04)","(52, 156)",0.8,by_size,1,196942108.36900038,0.00016777353170099489,9.304940615201207e-05,39000816.666666664,48.833333333333336,3.2666666666666666,39.09922502805174,12.166666666666666,8.8,17.566666666666666,0.0,3.2333333333333334,0.0,7.066666666666666,0.0,1.8333333333333333,0.43333333333333335,1.0,0.0,136.26666666666668,0.0,1.0333333333333334,0.0,97.83333333333333
calm,p01111,"(0.01, 0.04)","(52, 156)",0.8,by_size,2,319358685.892667,0.000312624888905061,-0.00013147885456466388,54107666.666666664,60.96666666666667,4.166666666666667,24.387035910202474,13.633333333333333,16.0,18.0,0.0,3.533333333333333,0.0,9.8,0.0,2.0,0.26666666666666666,1.9,0.0,100.2,0.0,3.4,0.0,107.63333333333334
calm,p10000,"(0.05, 0.2)","(13, 52)",0.4,equal,1,184744997.14466718,0.000174351965686837,0.00019360577553732591,40270833.33166667,47.36666666666667,3.466666666666667,35.34233170804668,10.6,10.766666666666667,17.533333333333335,0.0,2.1333333333333333,0.0,6.333333333333333,0.0,1.3333333333333333,0.5,1.6333333333333333,0.0,55.4,0.0,6.733333333333333,0.13333333333333333,38.166666666666664
calm,p10001,"(0.05, 0.2)","(13, 52)",0.4,equal,2,192879434.99466667,6.50523741922761e-05,3.137891585826862e-05,47021816.669999994,50.43333333333333,3.2666666666666666,23.7432899725874,11.966666666666667,13.033333333333333,17.8,0.0,2.1333333333333333,0.0,5.5,0.0,0.6,0.16666666666666666,2.5,0.0,54.96666666666667,0.0,3.066666666666667,0.06666666666666667,45.2
calm,p10010,"(0.05, 0.2)","(13, 52)",0.4,by_size,1,182097976.7766669,0.00020068351155751936,0.00024866290043105114,39193350.0,47.46666666666667,3.5,35.91183811961417,10.7,10.866666666666667,17.5,0.0,2.066666666666667,0.0,6.333333333333333,0.0,1.3333333333333333,0.4666666666666667,1.7,0.0,53.56666666666667,0.0,7.033333333333333,0.06666666666666667,36.3
calm,p10011,"(0.05, 0.2)","(13, 52)",0.4,by_size,2,268322823.26966745,0.0003890399512740021,0.00021482041477671865,46593233.333333336,53.06666666666667,3.6,23.360698058966545,11.933333333333334,13.233333333333333,17.8,0.0,2.2666666666666666,0.0,7.833333333333333,0.0,1.0333333333333334,0.13333333333333333,2.433333333333333,0.0,58.8,0.0,4.933333333333334,0.06666666666666667,38.4
calm,p10100,"(0.05, 0.2)","(13, 52)",0.8,equal,1,159558847.5253334,3.900264095786335e-05,-5.9121500894259425e-05,28532233.338,35.8,2.3333333333333335,29.790810374123065,9.833333333333334,0.0,17.6,0.0,2.033333333333333,0.0,6.333333333333333,0.0,1.3333333333333333,0.4666666666666667,0.5333333333333333,0.0,113.7,0.0,0.0,0.0,34.63333333333333
calm,p10101,"(0.05, 0.2)","(13, 52)",0.8,equal,2,175029781.4110003,0.00010817372847816815,0.0001131558853689787,37172299.99966667,41.733333333333334,1.8333333333333333,25.476552888238963,11.966666666666667,4.4,17.8,0.0,2.066666666666667,0.0,5.5,0.0,0.6,0.1,1.1333333333333333,0.0,121.83333333333333,0.0,0.0,0.0,43.766666666666666
calm,p10110,"(0.05, 0.2)","(13, 52)",0.8,by_size,1,159558847.52433357,3.900264095786335e-05,-5.9121500894259425e-05,28532233.333333332,35.8,2.3333333333333335,29.790810374123065,9.833333333333334,0.0,17.6,0.0,2.033333333333333,0.0,6.333333333333333,0.0,1.3333333333333333,0.4666666666666667,0.5333333333333333,0.0,113.7,0.0,0.0,0.0,34.63333333333333
calm,p10111,"(0.05, 0.2)","(13, 52)",0.8,by_size,2,253240764.86266682,0.0003504137118162142,0.00012694533932130705,38708033.333333336,44.93333333333333,2.2333333333333334,25.337307035029255,11.9,5.3,17.8,0.0,2.1,0.0,7.833333333333333,0.0,0.9333333333333333,0.1,1.2,0.0,115.96666666666667,0.0,1.9666666666666666,0.0,37.733333333333334
calm,p11000,"(0.05, 0.2)","(52, 156)",0.4,equal,1,213132255.28233337,0.00015691186930358523,0.00014596117521844902,49269299.99766667,59.13333333333333,4.933333333333334,37.52920585333051,12.466666666666667,19.166666666666668,17.6,0.0,3.3666666666666667,0.0,6.533333333333333,0.0,1.8,0.6,2.533333333333333,0.0,66.5,0.0,9.733333333333333,0.8333333333333334,105.16666666666667
calm,p11001,"(0.05, 0.2)","(52, 156)",0.4,equal,2,315623414.2463337,0.000387782999001385,-6.18629125634629e-05,56216533.33733333,67.63333333333334,3.966666666666667,21.142532358008964,13.533333333333333,23.0,18.0,0.0,3.7,0.0,9.4,0.0,1.1333333333333333,0.1,2.7333333333333334,0.0,88.1,0.0,15.2,0.5,87.2
calm,p11010,"(0.05, 0.2)","(52, 156)",0.4,by_size,1,232951817.91366667,0.0001520275935519481,4.2934593505154886e-05,51001383.333333336,63.833333333333336,4.9,35.27131493971604,12.466666666666667,22.866666666666667,17.566666666666666,0.0,3.6333333333333333,0.0,7.3,0.0,1.8666666666666667,0.43333333333333335,2.6,0.0,60.06666666666667,0.0,10.433333333333334,4.2,99.96666666666667
calm,p11011,"(0.05, 0.2)","(52, 156)",0.4,by_size,2,300927866.44300044,0.0004834923163970173,0.00013276100792824504,56374033.333333336,71.56666666666666,3.5,20.10276352963049,13.7,26.166666666666668,18.0,0.0,3.6666666666666665,0.0,10.033333333333333,0.0,0.9333333333333333,0.0,2.566666666666667,0.0,97.1,0.0,18.0,0.5,80.96666666666667
calm,p11100,"(0.05, 0.2)","(52, 156)",0.8,equal,1,182026348.80600026,0.0001042860389647962,4.5955598915598386e-05,37096116.66833333,46.0,3.1333333333333333,37.64671819989644,12.066666666666666,6.6,17.6,0.0,3.066666666666667,0.0,6.666666666666667,0.0,1.8,0.4666666666666667,0.8666666666666667,0.0,144.53333333333333,0.0,0.0,0.0,99.0
calm,p11101,"(0.05, 0.2)","(52, 156)",0.8,equal,2,335236920.9800002,0.00038014069692632525,-0.0001256852121075165,54241050.022,61.4,4.233333333333333,25.28325216215381,13.6,16.333333333333332,18.0,0.0,3.6,0.0,9.866666666666667,0.0,1.9333333333333333,0.3,2.0,0.0,100.66666666666667,0.0,3.7333333333333334,0.0,102.9
calm,p11110,"(0.05, 0.2)","(52, 156)",0.8,by_size,1,196942108.36900038,0.00016777353170099489,9.304940615201207e-05,39000816.666666664,48.833333333333336,3.2666666666666666,39.09922502805174,12.166666666666666,8.8,17.566666666666666,0.0,3.2333333333333334,0.0,7.066666666666666,0.0,1.8333333333333333,0.43333333333333335,1.0,0.0,136.26666666666668,0.0,1.0333333333333334,0.0,97.83333333333333
calm,p11111,"(0.05, 0.2)","(52, 156)",0.8,by_size,2,319358685.892667,0.000312624888905061,-0.00013147885456466388,54107666.666666664,60.96666666666667,4.166666666666667,24.387035910202474,13.633333333333333,16.0,18.0,0.0,3.533333333333333,0.0,9.8,0.0,2.0,0.26666666666666666,1.9,0.0,100.2,0.0,3.4,0.0,107.63333333333334
cm3_12w,default,"(0.02, 0.1)","(26, 104)",0.6,equal,1,180107667.07033297,0.00010395258459187717,9.582042516128177e-06,43344416.67333333,51.93333333333333,3.8333333333333335,40.155389805942605,12.033333333333333,13.166666666666666,17.533333333333335,0.0,2.5,0.0,6.7,0.0,1.8666666666666667,0.5,1.4666666666666666,0.0,81.36666666666666,0.0,7.8,0.0,72.3
cm3_12w,p00000,"(0.01, 0.04)","(13, 52)",0.4,equal,1,169947156.62599972,0.00014507234656474521,0.00012616018997025738,40264050.00733333,48.3,3.566666666666667,37.08537088240618,11.233333333333333,11.133333333333333,17.5,0.0,2.1,0.0,6.333333333333333,0.0,1.3333333333333333,0.5,1.7333333333333334,0.0,55.1,0.0,6.766666666666667,0.06666666666666667,35.56666666666667
cm3_12w,p00001,"(0.01, 0.04)","(13, 52)",0.4,equal,2,221072842.8816663,0.000435070518251388,0.0007276308587631381,48576716.66966666,52.4,3.566666666666667,24.361411168700126,12.633333333333333,14.3,17.866666666666667,0.0,2.1,0.0,5.5,0.0,0.6333333333333333,0.36666666666666664,2.566666666666667,0.0,52.56666666666667,0.0,3.3333333333333335,0.06666666666666667,45.9
cm3_12w,p00010,"(0.01, 0.04)","(13, 52)",0.4,by_size,1,159512351.96866646,7.455437611669854e-05,-7.696202473069652e-06,39194983.333333336,48.03333333333333,3.466666666666667,37.17142339306053,11.266666666666667,10.833333333333334,17.466666666666665,0.0,2.1333333333333333,0.0,6.333333333333333,0.0,1.3333333333333333,0.4666666666666667,1.6666666666666667,0.0,54.0,0.0,7.266666666666667,0.06666666666666667,35.766666666666666
cm3_12w,p00011,"(0.01, 0.04)","(13, 52)",0.4,by_size,2,282461286.26066625,0.0007653389138417335,0.0009256755729095136,47305566.666666664,54.233333333333334,3.6666666666666665,23.750700938447356,12.7,13.566666666666666,17.866666666666667,0.0,2.1333333333333333,0.0,7.966666666666667,0.0,1.0333333333333334,0.16666666666666666,2.466666666666667,0.0,57.96666666666667,0.0,4.833333333333333,0.06666666666666667,38.1
cm3_12w,p00100,"(0.01, 0.04)","(13, 52)",0.8,equal,1,144656597.56633314,-4.4470990512979064e-05,-0.00025216985286852114,29594266.67133333,37.03333333333333,2.3333333333333335,29.557318427450006,11.133333333333333,0.0,17.5,0.0,2.066666666666667,0.0,6.333333333333333,0.0,1.3333333333333333,0.4666666666666667,0.5333333333333333,0.0,112.96666666666667,0.0,0.0,0.0,35.233333333333334
cm3_12w,p00101,"(0.01, 0.04)","(13, 52)",0.8,equal,2,172582894.30633342,0.0002916029651782662,0.00045858487902942434,36459199.999,41.333333333333336,1.7333333333333334,25.39746135764427,12.7,3.066666666666667,17.866666666666667,0.0,2.2,0.0,5.5,0.0,0.6,0.1,1.0333333333333334,0.0,130.9,0.0,0.0,0.0,43.36666666666667
cm3_12w,p00110,"(0.01, 0.04)","(13, 52)",0.8,by_size,1,147906519.88466644,-4.1335042097235735e-05,-0.00024595507462781447,29881533.333333332,37.46666666666667,2.3666666666666667,30.298985094116674,11.133333333333333,0.43333333333333335,17.5,0.0,2.066666666666667,0.0,6.333333333333333,0.0,1.3333333333333333,0.4666666666666667,0.5666666666666667,0.0,112.33333333333333,0.0,0.0,0.0,35.166666666666664
cm3_12w,p00111,"(0.01, 0.04)","(13, 52)",0.8,by_size,2,243918835.05133337,0.0005876148012256675,0.0005853767142782876,37086150.0,43.666666666666664,2.1,24.384414196254294,12.666666666666666,3.066666666666667,17.866666666666667,0.0,2.1666666666666665,0.0,7.9,0.0,0.9666666666666667,0.1,1.0333333333333334,0.0,127.93333333333334,0.0,1.9666666666666666,0.0,36.833333333333336
cm3_12w,p01000,"(0.01, 0.04)","(52, 156)",0.4,equal,1,206084820.83199984,0.00022465537856673285,0.00024458936884084374,48682866.65833333,58.8,4.933333333333334,38.27963369512972,12.4,18.766666666666666,17.7,0.0,3.4,0.0,6.533333333333333,0.0,1.7666666666666666,0.6,2.566666666666667,0.0,68.3,0.0,9.166666666666666,0.8333333333333334,104.66666666666667
cm3_12w,p01001,"(0.01, 0.04)","(52, 156)",0.4,equal,2,336836619.2896665,0.000862448140903482,0.000842586544805916,57405950.007,69.23333333333333,4.266666666666667,22.18507731871132,13.6,24.533333333333335,18.0,0.0,3.7,0.0,9.4,0.0,1.2333333333333334,0.13333333333333333,2.9,0.0,79.73333333333333,0.0,15.266666666666667,0.5,88.66666666666667
cm3_12w,p01010,"(0.01, 0.04)","(52, 156)",0.4,by_size,1,227636515.68366662,0.0002510286077469607,0.0002006176082658099,50708066.666666664,64.53333333333333,5.2,35.66436674828397,12.4,23.466666666666665,17.633333333333333,0.0,3.466666666666667,0.0,7.566666666666666,0.0,1.8666666666666667,0.4,2.933333333333333,0.0,61.53333333333333,0.0,10.2,4.133333333333334,99.56666666666666
cm3_12w,p01011,"(0.01, 0.04)","(52, 156)",0.4,by_size,2,310733250.02733284,0.0009199727541393164,0.0009369718607941099,57472483.333333336,73.36666666666666,3.7,21.397494070545058,13.666666666666666,27.733333333333334,18.0,0.0,3.7,0.0,10.266666666666667,0.0,0.9333333333333333,0.0,2.7666666666666666,0.0,89.26666666666667,0.0,18.166666666666668,0.5,82.53333333333333
cm3_12w,p01100,"(0.01, 0.04)","(52, 156)",0.8,equal,1,165916982.52633312,7.522782119633045e-05,-5.458708974299665e-05,37323100.01433334,46.8,3.2333333333333334,39.113876035065935,12.166666666666666,7.333333333333333,17.6,0.0,3.033333333333333,0.0,6.666666666666667,0.0,1.8333333333333333,0.4666666666666667,0.9333333333333333,0.0,143.93333333333334,0.0,0.0,0.0,97.56666666666666
cm3_12w,p01101,"(0.01, 0.04)","(52, 156)",0.8,equal,2,347840329.2696668,0.0008041936959106393,0.0006627508504834074,53966400.022,61.3,4.266666666666667,25.59558757233248,13.566666666666666,16.366666666666667,18.0,0.0,3.5,0.0,9.866666666666667,0.0,1.9,0.4,1.9666666666666666,0.0,101.73333333333333,0.0,3.7333333333333334,0.0,105.0
cm3_12w,p01110,"(0.01, 0.04)","(52, 156)",0.8,by_size,1,179218234.26933277,0.0001295278261237738,-2.723771124724333e-05,37582183.333333336,47.5,3.2,39.02928724236236,12.233333333333333,7.633333333333334,17.633333333333333,0.0,2.933333333333333,0.0,7.066666666666666,0.0,1.8,0.43333333333333335,0.9666666666666667,0.0,142.66666666666666,0.0,0.7666666666666667,0.0,95.26666666666667
cm3_12w,p01111,"(0.01, 0.04)","(52, 156)",0.8,by_size,2,326680845.87733346,0.0007411138534926466,0.0006714314447157742,53137283.333333336,60.63333333333333,4.1,25.366566707142407,13.5,15.6,18.0,0.0,3.7333333333333334,0.0,9.8,0.0,1.9666666666666666,0.3333333333333333,1.8,0.0,105.73333333333333,0.0,3.4,0.0,108.03333333333333
cm3_12w,p10000,"(0.05, 0.2)","(13, 52)",0.4,equal,1,169947156.62599972,0.00014507234656474521,0.00012616018997025738,40264050.00733333,48.3,3.566666666666667,37.08537088240618,11.233333333333333,11.133333333333333,17.5,0.0,2.1,0.0,6.333333333333333,0.0,1.3333333333333333,0.5,1.7333333333333334,0.0,55.1,0.0,6.766666666666667,0.06666666666666667,35.56666666666667
cm3_12w,p10001,"(0.05, 0.2)","(13, 52)",0.4,equal,2,221072842.8816663,0.000435070518251388,0.0007276308587631381,48576716.66966666,52.4,3.566666666666667,24.361411168700126,12.633333333333333,14.3,17.866666666666667,0.0,2.1,0.0,5.5,0.0,0.6333333333333333,0.36666666666666664,2.566666666666667,0.0,52.56666666666667,0.0,3.3333333333333335,0.06666666666666667,45.9
cm3_12w,p10010,"(0.05, 0.2)","(13, 52)",0.4,by_size,1,159512351.96866646,7.455437611669854e-05,-7.696202473069652e-06,39194983.333333336,48.03333333333333,3.466666666666667,37.17142339306053,11.266666666666667,10.833333333333334,17.466666666666665,0.0,2.1333333333333333,0.0,6.333333333333333,0.0,1.3333333333333333,0.4666666666666667,1.6666666666666667,0.0,54.0,0.0,7.266666666666667,0.06666666666666667,35.766666666666666
cm3_12w,p10011,"(0.05, 0.2)","(13, 52)",0.4,by_size,2,282461286.26066625,0.0007653389138417335,0.0009256755729095136,47305566.666666664,54.233333333333334,3.6666666666666665,23.750700938447356,12.7,13.566666666666666,17.866666666666667,0.0,2.1333333333333333,0.0,7.966666666666667,0.0,1.0333333333333334,0.16666666666666666,2.466666666666667,0.0,57.96666666666667,0.0,4.833333333333333,0.06666666666666667,38.1
cm3_12w,p10100,"(0.05, 0.2)","(13, 52)",0.8,equal,1,144656597.56633314,-4.4470990512979064e-05,-0.00025216985286852114,29594266.67133333,37.03333333333333,2.3333333333333335,29.557318427450006,11.133333333333333,0.0,17.5,0.0,2.066666666666667,0.0,6.333333333333333,0.0,1.3333333333333333,0.4666666666666667,0.5333333333333333,0.0,112.96666666666667,0.0,0.0,0.0,35.233333333333334
cm3_12w,p10101,"(0.05, 0.2)","(13, 52)",0.8,equal,2,172582894.30633342,0.0002916029651782662,0.00045858487902942434,36459199.999,41.333333333333336,1.7333333333333334,25.39746135764427,12.7,3.066666666666667,17.866666666666667,0.0,2.2,0.0,5.5,0.0,0.6,0.1,1.0333333333333334,0.0,130.9,0.0,0.0,0.0,43.36666666666667
cm3_12w,p10110,"(0.05, 0.2)","(13, 52)",0.8,by_size,1,147906519.88466644,-4.1335042097235735e-05,-0.00024595507462781447,29881533.333333332,37.46666666666667,2.3666666666666667,30.298985094116674,11.133333333333333,0.43333333333333335,17.5,0.0,2.066666666666667,0.0,6.333333333333333,0.0,1.3333333333333333,0.4666666666666667,0.5666666666666667,0.0,112.33333333333333,0.0,0.0,0.0,35.166666666666664
cm3_12w,p10111,"(0.05, 0.2)","(13, 52)",0.8,by_size,2,243918835.05133337,0.0005876148012256675,0.0005853767142782876,37086150.0,43.666666666666664,2.1,24.384414196254294,12.666666666666666,3.066666666666667,17.866666666666667,0.0,2.1666666666666665,0.0,7.9,0.0,0.9666666666666667,0.1,1.0333333333333334,0.0,127.93333333333334,0.0,1.9666666666666666,0.0,36.833333333333336
cm3_12w,p11000,"(0.05, 0.2)","(52, 156)",0.4,equal,1,206084820.83199984,0.00022465537856673285,0.00024458936884084374,48682866.65833333,58.8,4.933333333333334,38.27963369512972,12.4,18.766666666666666,17.7,0.0,3.4,0.0,6.533333333333333,0.0,1.7666666666666666,0.6,2.566666666666667,0.0,68.3,0.0,9.166666666666666,0.8333333333333334,104.66666666666667
cm3_12w,p11001,"(0.05, 0.2)","(52, 156)",0.4,equal,2,336832305.53133315,0.0008620672030727153,0.0008418848983599658,57398566.671333335,69.23333333333333,4.266666666666667,22.14793446156846,13.6,24.566666666666666,18.0,0.0,3.6666666666666665,0.0,9.4,0.0,1.2333333333333334,0.13333333333333333,2.9,0.0,79.83333333333333,0.0,15.266666666666667,0.5,88.5
