scenario,seed,d_stockout,d_purchases,d_shipping,d_holding,d_handling,d_tech,d_cogs,d_inventory_change,d_network_profit_with_inventory,llm_adopts18,rule_adopts18,ratio
calm,1,-11,285,-96,25,0,21,103,73,71,92,72,1.28
calm,2,-39,391,-136,38,0,24,111,48,188,85,82,1.04
calm,3,-27,313,-67,18,0,29,71,16,86,83,64,1.3
calm,4,-11,339,-54,25,0,19,88,39,8,85,71,1.2
calm,5,1,44,-253,-1,0,27,44,25,205,92,71,1.3
cm3_12w,1,23,-16,-91,14,0,30,19,20,-55,91,71,1.28
cm3_12w,2,-28,227,-128,0,0,26,38,4,192,93,83,1.12
cm3_12w,3,-14,180,-35,10,0,21,32,2,39,80,65,1.23
cm3_12w,4,-39,537,-53,28,0,27,121,36,89,85,68,1.25
cm3_12w,5,-32,325,-230,20,0,9,46,1,302,73,67,1.09
