scenario,seed,llm_gain,rule,hybrid,p1_llm,fill,groups,p1_groups,ct,rule_groups,first_ri,cancel,fail,llm_adopts,usd,fallbacks
calm,1,286,360,262,358,0.17,9,12,144,13,1,0.2,0.02,90,3.68,0
calm,2,238,237,253,298,0.08,10,10,114,15,1,0.16,0.06,90,3.53,0
calm,3,265,274,246,368,0.15,5,6,47,11,1,0.1,0.05,81,3.7,0
calm,4,214,300,293,185,0.19,5,6,48,14,1,0.08,0.09,90,3.53,0
calm,5,197,68,188,257,-0.02,11,12,147,11,14,0.2,0.04,91,4.06,0
cm3_12w,1,349,391,287,270,0.19,11,8,141,12,1,0.23,0.02,96,3.69,0
cm3_12w,2,876,240,855,285,1.2,13,13,118,13,1,0.2,0.01,93,3.44,0
cm3_12w,3,302,265,264,320,0.22,8,6,48,10,14,0.13,0.09,82,3.64,0
cm3_12w,4,146,200,221,225,0.16,7,6,46,12,1,0.11,0.04,73,3.61,0
cm3_12w,5,360,106,195,355,0.17,10,5,82,12,53,0.21,0.06,87,4.4,0
