seed,network_profit_with_inventory,fill_rate,satisfaction_index,costs_stockout,costs_tech,adoptions,coalitions,scenario,arm,gain_musd,git_commit,git_dirty,run_date
1,41612850873.76529,0.9863087001653288,0.9642051525949888,263735732.2,0.0,0,0,calm,none,0.0,17078bc7cd6fc08f54a2ac91b1ca346391c4d861,False,2026-09-25
2,41307813236.395164,0.9804924237331154,0.9599780682816348,375949696.04,0.0,0,0,calm,none,0.0,17078bc7cd6fc08f54a2ac91b1ca346391c4d861,False,2026-09-25
3,41222413629.20362,0.9820947464561196,0.9604367335254044,344910602.75,0.0,0,0,calm,none,0.0,17078bc7cd6fc08f54a2ac91b1ca346391c4d861,False,2026-09-25
4,41450600120.80244,0.9857028436897736,0.9621515372599648,275437624.21,0.0,0,0,calm,none,0.0,17078bc7cd6fc08f54a2ac91b1ca346391c4d861,False,2026-09-25
5,41884302678.80148,0.9903433774767416,0.96654688468557,186116282.84,0.0,0,0,calm,none,0.0,17078bc7cd6fc08f54a2ac91b1ca346391c4d861,False,2026-09-25
1,41919008032.12959,0.9870320485282656,0.9645478153422932,249801861.1,47898700.06,167,16,calm,follow_c0.5,306.1571583643036,17078bc7cd6fc08f54a2ac91b1ca346391c4d861,False,2026-09-25
2,41492915894.01703,0.9804360584708232,0.9599950262334592,377035966.37,45075199.99,162,15,calm,follow_c0.5,185.10265762186432,17078bc7cd6fc08f54a2ac91b1ca346391c4d861,False,2026-09-25
3,41456676450.615814,0.9824756727570594,0.9606570506648082,337572782.42,46678300.0,161,16,calm,follow_c0.5,234.2628214121933,17078bc7cd6fc08f54a2ac91b1ca346391c4d861,False,2026-09-25
4,41727719917.48467,0.9870277855093792,0.9628971838688556,249912350.77,50338100.02,164,15,calm,follow_c0.5,277.11979668223574,17078bc7cd6fc08f54a2ac91b1ca346391c4d861,False,2026-09-25
5,41942705211.180115,0.989810857013426,0.9663285169169072,196379781.55,47743200.1,136,12,calm,follow_c0.5,58.40253237863159,17078bc7cd6fc08f54a2ac91b1ca346391c4d861,False,2026-09-25
1,41878316020.77274,0.9872598310944412,0.9646639966589492,245414081.33,49231800.07,161,16,calm,hybrid_c0.5,265.46514700745394,17078bc7cd6fc08f54a2ac91b1ca346391c4d861,False,2026-09-25
2,41527664580.01572,0.9806368971700242,0.96011780957128,373165405.7,45929400.09,164,15,calm,hybrid_c0.5,219.85134362055206,17078bc7cd6fc08f54a2ac91b1ca346391c4d861,False,2026-09-25
3,41532010807.86446,0.9828879710118548,0.9609162772459354,329630642.83,46296800.07,150,16,calm,hybrid_c0.5,309.59717866084287,17078bc7cd6fc08f54a2ac91b1ca346391c4d861,False,2026-09-25
4,41676799754.32043,0.9867569259183674,0.9627446674067712,255130514.59,47010900.03,171,17,calm,hybrid_c0.5,226.19963351799012,17078bc7cd6fc08f54a2ac91b1ca346391c4d861,False,2026-09-25
5,41968402137.56129,0.9898934951523212,0.96636630901849,194787060.15,50531400.09,152,15,calm,hybrid_c0.5,84.09945875980377,17078bc7cd6fc08f54a2ac91b1ca346391c4d861,False,2026-09-25
1,39573687986.88912,0.9533120948639804,0.9475522566810692,899349876.03,0.0,0,0,cm3_12w,none,0.0,17078bc7cd6fc08f54a2ac91b1ca346391c4d861,False,2026-09-25
2,39436319908.936325,0.9509955122758434,0.9451665011876073,944413701.03,0.0,0,0,cm3_12w,none,0.0,17078bc7cd6fc08f54a2ac91b1ca346391c4d861,False,2026-09-25
3,39421972131.856445,0.9529574346629048,0.9458764491436896,906185412.62,0.0,0,0,cm3_12w,none,0.0,17078bc7cd6fc08f54a2ac91b1ca346391c4d861,False,2026-09-25
4,39713814148.25827,0.9572639929052796,0.9481050686817176,823317867.32,0.0,0,0,cm3_12w,none,0.0,17078bc7cd6fc08f54a2ac91b1ca346391c4d861,False,2026-09-25
5,39555924858.70638,0.953608777649895,0.948368117840672,894118196.39,0.0,0,0,cm3_12w,none,0.0,17078bc7cd6fc08f54a2ac91b1ca346391c4d861,False,2026-09-25
