scenario,seed,llm,rule,hybrid,p5_llm,fill,groups,biggest,ct_distinct,ct_attempts,net_off,first_ri,ri_n,cancel,fail,llm_adopts,usd,fallbacks,git_commit,run_date
calm,1,368,306,265,286,0.18,12,13,46,54,0,1,14,0.28,0.08,102,3.6,0,dbbc8e254ea98e0b7a4d8ee8e743b8d4678804ef,2026-09-25
calm,2,405,185,220,238,0.21,13,13,43,56,0,1,14,0.19,0.04,90,3.45,0,dbbc8e254ea98e0b7a4d8ee8e743b8d4678804ef,2026-09-25
calm,3,409,234,310,265,0.28,11,13,46,50,0,27,12,0.19,0.04,89,3.46,0,dbbc8e254ea98e0b7a4d8ee8e743b8d4678804ef,2026-09-25
calm,4,245,277,226,214,0.23,12,13,44,44,0,27,11,0.14,0.09,76,3.26,0,dbbc8e254ea98e0b7a4d8ee8e743b8d4678804ef,2026-09-25
calm,5,150,58,84,197,0.02,17,13,40,49,0,1,12,0.21,0.05,81,3.42,0,dbbc8e254ea98e0b7a4d8ee8e743b8d4678804ef,2026-09-25
cm3_12w,1,416,345,303,349,0.3,12,13,44,46,0,27,13,0.15,0.07,86,3.37,0,dbbc8e254ea98e0b7a4d8ee8e743b8d4678804ef,2026-09-25
cm3_12w,2,424,185,206,876,0.25,12,13,42,65,0,1,12,0.19,0.01,89,3.49,0,dbbc8e254ea98e0b7a4d8ee8e743b8d4678804ef,2026-09-25
cm3_12w,3,396,257,264,302,0.26,10,13,44,51,0,1,10,0.14,0.0,77,3.08,0,dbbc8e254ea98e0b7a4d8ee8e743b8d4678804ef,2026-09-25
cm3_12w,4,176,170,157,146,0.21,10,13,44,53,0,1,12,0.21,0.09,85,3.67,0,dbbc8e254ea98e0b7a4d8ee8e743b8d4678804ef,2026-09-25
cm3_12w,5,164,85,84,360,0.05,12,13,44,62,0,1,11,0.16,0.07,92,3.5,0,dbbc8e254ea98e0b7a4d8ee8e743b8d4678804ef,2026-09-25
