scenario,seed,llm_gain,rule,rule25,rule75,hybrid,fill,groups,gkinds,gtech,rule_groups,adopts,llm_adopts,fail_share,protect_firms,protect,cm3_ri_week,ri_n,aps_n,techs,usd,calls,fallbacks,malformed,ndec
calm,1,358,287,289,346,69,0.17,12,"{'dyad': 6, 'chain': 5, 'triad': 1}","{'rfid': 1, 'control_tower': 6, 'ml_forecast': 3, 'routing': 1, 'risk_intel': 1}",12,149,92,0.38,7,"['CM_1', 'CM_2', 'CM_3', 'CM_4', 'DC_Shanghai', 'MFG_China', 'MFG_US']",[66],8,6,"{'routing': 9, 'aps': 6, 'rfid': 20, 'control_tower': 31, 'ml_forecast': 15, 'wh_robotics': 3, 'risk_intel': 8}",2.91,321,0,6,771
calm,2,298,110,136,157,134,0.17,10,"{'chain': 4, 'triad': 2, 'dyad': 4}","{'control_tower': 5, 'rfid': 2, 'ml_forecast': 1, 'risk_intel': 2}",11,142,85,0.51,9,"['CM_1', 'CM_2', 'CM_3', 'CM_4', 'DC_Dubai', 'DC_Houston', 'DC_Shanghai', 'MFG_China', 'MFG_US']",[66],9,6,"{'routing': 11, 'aps': 6, 'rfid': 20, 'control_tower': 23, 'ml_forecast': 12, 'wh_robotics': 4, 'risk_intel': 9}",2.51,305,0,7,748
calm,3,368,282,235,231,203,0.25,6,"{'chain': 4, 'triad': 1, 'dyad': 1}","{'control_tower': 4, 'risk_intel': 1, 'rfid': 1}",10,140,83,0.28,7,"['CM_1', 'CM_2', 'CM_3', 'CM_4', 'DC_Houston', 'MFG_China', 'MFG_US']","[66, 131]",9,7,"{'routing': 10, 'rfid': 22, 'control_tower': 19, 'aps': 7, 'wh_robotics': 4, 'ml_forecast': 12, 'risk_intel': 9}",2.65,305,0,11,747
calm,4,185,177,163,386,176,0.14,6,"{'chain': 2, 'dyad': 3, 'triad': 1}","{'control_tower': 3, 'ml_forecast': 2, 'risk_intel': 1}",11,115,85,0.14,9,"['CM_1', 'CM_2', 'CM_3', 'CM_4', 'DC_Dubai', 'DC_Houston', 'DC_Sofia', 'MFG_China', 'MFG_US']",[79],9,6,"{'routing': 11, 'rfid': 23, 'wh_robotics': 3, 'control_tower': 17, 'ml_forecast': 16, 'aps': 6, 'risk_intel': 9}",3.05,324,0,10,743
calm,5,257,52,52,83,197,0.02,12,"{'chain': 7, 'triad': 2, 'dyad': 3}","{'control_tower': 5, 'routing': 1, 'aps': 1, 'ml_forecast': 3, 'risk_intel': 2}",9,149,92,0.34,8,"['CM_1', 'CM_2', 'CM_3', 'CM_4', 'DC_Dubai', 'DC_Houston', 'MFG_China', 'MFG_US']","[66, 131]",9,7,"{'routing': 10, 'rfid': 19, 'wh_robotics': 4, 'control_tower': 21, 'ml_forecast': 22, 'aps': 7, 'risk_intel': 9}",2.61,304,0,4,753
cm3_12w,1,270,325,326,399,155,0.08,8,"{'chain': 5, 'dyad': 2, 'triad': 1}","{'control_tower': 6, 'risk_intel': 1, 'ml_forecast': 1}",13,148,91,0.57,10,"['CM_1', 'CM_2', 'CM_3', 'CM_4', 'DC_Dubai', 'DC_Houston', 'DC_Shanghai', 'DC_Sofia', 'MFG_China', 'MFG_US']",[66],10,6,"{'routing': 10, 'rfid': 22, 'wh_robotics': 4, 'control_tower': 26, 'aps': 6, 'ml_forecast': 13, 'risk_intel': 10}",2.58,304,0,7,747
cm3_12w,2,285,93,117,154,766,0.08,13,"{'chain': 6, 'triad': 3, 'dyad': 4}","{'routing': 1, 'control_tower': 6, 'rfid': 1, 'ml_forecast': 2, 'aps': 1, 'risk_intel': 2}",12,150,93,0.33,10,"['CM_1', 'CM_2', 'CM_3', 'CM_4', 'DC_Dubai', 'DC_Houston', 'DC_Shanghai', 'DC_Sofia', 'MFG_China', 'MFG_US']",[79],12,5,"{'routing': 12, 'aps': 5, 'rfid': 18, 'control_tower': 25, 'ml_forecast': 17, 'wh_robotics': 4, 'risk_intel': 12}",2.64,308,0,5,768
cm3_12w,3,320,281,211,243,237,0.2,6,"{'chain': 4, 'dyad': 2}","{'control_tower': 3, 'ml_forecast': 2, 'risk_intel': 1}",12,110,80,0.09,10,"['CM_1', 'CM_2', 'CM_3', 'CM_4', 'DC_Dubai', 'DC_Houston', 'DC_Shanghai', 'DC_Sofia', 'MFG_China', 'MFG_US']",[79],10,6,"{'routing': 9, 'aps': 6, 'rfid': 20, 'control_tower': 17, 'ml_forecast': 15, 'wh_robotics': 3, 'risk_intel': 10}",2.68,303,0,4,725
cm3_12w,4,225,136,105,309,91,0.25,6,"{'chain': 2, 'dyad': 3, 'triad': 1}","{'control_tower': 3, 'ml_forecast': 2, 'risk_intel': 1}",12,115,85,0.14,8,"['CM_1', 'CM_2', 'CM_3', 'CM_4', 'DC_Dubai', 'DC_Sofia', 'MFG_China', 'MFG_US']","[40, 105]",10,6,"{'routing': 11, 'aps': 6, 'rfid': 22, 'control_tower': 17, 'ml_forecast': 15, 'risk_intel': 10, 'wh_robotics': 4}",2.37,281,0,6,698
cm3_12w,5,355,53,37,166,210,0.19,5,"{'chain': 3, 'dyad': 2}","{'control_tower': 3, 'ml_forecast': 2}",11,103,73,0.07,7,"['CM_1', 'CM_2', 'CM_3', 'CM_4', 'DC_Houston', 'MFG_China', 'MFG_US']",[53],6,6,"{'routing': 10, 'rfid': 19, 'aps': 6, 'control_tower': 17, 'wh_robotics': 3, 'ml_forecast': 12, 'risk_intel': 6}",2.65,300,0,6,717
