rate,arm,measure,mean,ci_low,ci_high
0.0,none_vs_calm,network_profit_with_inventory,0.0,0.0,0.0
0.0,none_vs_calm,fill_rate,0.0,0.0,0.0
0.0,none_vs_calm,satisfaction_index,0.0,0.0,0.0
0.0,none_vs_calm,retail_on_time_rate,0.0,0.0,0.0
0.0,none_vs_calm,costs_stockout,0.0,0.0,0.0
0.0,none_vs_calm,costs_tech,0.0,0.0,0.0
0.0,none_vs_calm,adoptions,0.0,0.0,0.0
0.0,risk_intel,network_profit_with_inventory,-7304533.333333333,-7496456.206285083,-7112610.460381583
0.0,risk_intel,fill_rate,0.0,0.0,0.0
0.0,risk_intel,satisfaction_index,0.0,0.0,0.0
0.0,risk_intel,retail_on_time_rate,0.0,0.0,0.0
0.0,risk_intel,costs_stockout,0.0,0.0,0.0
0.0,risk_intel,costs_tech,7304533.333333333,7112610.460381583,7496456.206285083
0.0,risk_intel,adoptions,10.0,10.0,10.0
0.0,aps,network_profit_with_inventory,10269993.385343933,-6131589.849503871,26671576.620191738
0.0,aps,fill_rate,0.0010081582667011166,0.0007079200288232518,0.0013083965045789813
0.0,aps,satisfaction_index,0.0005098717349506436,0.00036304926594920374,0.0006566942039520835
0.0,aps,retail_on_time_rate,2.988936086458412e-05,-3.367029734698462e-05,9.344901907615285e-05
0.0,aps,costs_stockout,-19427477.613,-25216968.753263175,-13637986.472736828
0.0,aps,costs_tech,13145400.0,12890579.643954398,13400220.356045602
0.0,aps,adoptions,6.0,6.0,6.0
0.0,control_tower,network_profit_with_inventory,6431206.933598327,-6630487.918794132,19492901.785990786
0.0,control_tower,fill_rate,0.0005532748312603049,0.00036252392200284377,0.0007440257405177661
0.0,control_tower,satisfaction_index,0.00028740930125291663,0.00018884016754256046,0.0003859784349632728
0.0,control_tower,retail_on_time_rate,-7.89061296497436e-06,-4.21483012403572e-05,2.6367075310408483e-05
0.0,control_tower,costs_stockout,-10659549.626333332,-14334037.905738845,-6985061.346927818
0.0,control_tower,costs_tech,30646800.15999999,29541545.30186843,31752055.018131547
0.0,control_tower,adoptions,48.0,48.0,48.0
0.0,follow,network_profit_with_inventory,246215305.31628495,210396052.92815343,282034557.70441645
0.0,follow,fill_rate,0.0005708092662491985,0.0002950009244330255,0.0008466176080653715
0.0,follow,satisfaction_index,0.0003816009344961809,0.00023514473355164137,0.0005280571354407205
0.0,follow,retail_on_time_rate,1.0149967408557003e-06,-4.121887062889504e-05,4.3248864110606436e-05
0.0,follow,costs_stockout,-10998068.458333334,-16310358.133426791,-5685778.783239877
0.0,follow,costs_tech,73921133.48666666,72756620.26510514,75085646.70822819
0.0,follow,adoptions,165.7,160.25653331517032,171.14346668482966
0.0,hybrid,network_profit_with_inventory,237843179.52940038,203596785.75408828,272089573.3047125
0.0,hybrid,fill_rate,0.0009382330426571735,0.0006340323926688157,0.0012424336926455312
0.0,hybrid,satisfaction_index,0.00056790886815354,0.0004123595336278389,0.0007234582026792412
0.0,hybrid,retail_on_time_rate,1.1774101790551495e-05,-4.149728093223806e-05,6.504548451334104e-05
0.0,hybrid,costs_stockout,-18079784.337333336,-23940035.631589994,-12219533.043076677
0.0,hybrid,costs_tech,93497683.45933335,92435242.44087833,94560124.47778836
0.0,hybrid,adoptions,183.46666666666667,178.77792349062457,188.15540984270876
0.0,hybrid_robot,network_profit_with_inventory,267164503.23803633,231480403.5666015,302848602.90947115
0.0,hybrid_robot,fill_rate,0.0016858499088731938,0.001381138931598547,0.0019905608861478406
0.0,hybrid_robot,satisfaction_index,0.0030801250158819108,0.0027335921727562294,0.003426657859007592
0.0,hybrid_robot,retail_on_time_rate,0.007144655170584798,0.006274045883251361,0.008015264457918236
0.0,hybrid_robot,costs_stockout,-32481571.547333334,-38351602.34668356,-26611540.747983105
0.0,hybrid_robot,costs_tech,111293650.147,110124756.43591182,112462543.85808818
0.0,hybrid_robot,adoptions,188.43333333333334,183.11535401739113,193.75131264927555
0.2,none_vs_calm,network_profit_with_inventory,-2419557238.4103026,-3248248038.460881,-1590866438.359724
0.2,none_vs_calm,fill_rate,-0.03952743292570458,-0.052614379428375685,-0.02644048642303347
0.2,none_vs_calm,satisfaction_index,-0.02267158011374722,-0.030014815422099324,-0.015328344805395116
