scenario,tech,effect_scale,profit,ci_low,ci_high,satisfaction,fill_rate,costs_tech,profit_cost_x0.5,profit_cost_x2,breakeven_cost_mult
calm,aps,0.5,-15909898.750332642,-35855676.88533349,4035879.384668205,0.0005007622371276388,0.0010055017949191132,13824000.0,-8997898.750332642,-29733898.750332642,-0.1508896665460535
calm,aps,1.0,-22100205.947332762,-49663092.23146203,5462680.3367965035,0.0008167816059385139,0.0016259222924293012,13824000.0,-15188205.947332762,-35924205.94733276,-0.5986838792920111
calm,aps,1.5,-24077663.861333467,-55259852.8479874,7104525.125320468,0.001006067728895854,0.0020013069884942335,13824000.0,-17165663.861333467,-37901663.86133347,-0.7417291566358122
calm,blockchain,0.5,348748592.2550003,347488205.2630066,350008979.24699396,0.0010606368203279833,1.899449621959685e-06,10751999.94,354124592.2250003,337996592.3150003,33.4356951451955
calm,blockchain,1.0,688552083.0996668,686320311.94424,690783854.2550937,0.002098096149446271,2.930693120236268e-06,10751999.94,693928083.0696669,677800083.1596668,65.03944260993615
calm,blockchain,1.5,1010208336.3230001,1006392034.1558853,1014024638.4901148,0.0031075942673446377,3.5279310533931076e-06,10751999.94,1015584336.2930001,999456336.383,94.9553889472027
calm,control_tower,0.5,74123460.10700022,48062909.16739274,100184011.0466077,0.0005327118309845853,0.0009947596396288282,35072000.15999999,91659460.18700022,39051459.94700023,3.1134654359274
calm,control_tower,1.0,108221448.07533391,80503305.61218154,135939590.53848627,0.0004583657318581902,0.0008179020927282103,35072000.15999999,125757448.1553339,73149447.91533393,4.085693646830034
calm,control_tower,1.5,108221448.07533391,80503305.61218154,135939590.53848627,0.0004583657318581902,0.0008179020927282103,35072000.15999999,125757448.1553339,73149447.91533393,4.085693646830034
calm,ml_forecast,0.5,-7154006.759333293,-29545218.938385334,15237205.419718746,6.790254381408011e-05,9.5446533658942e-05,18944000.019999996,2317993.250666705,-26098006.77933329,0.6223602854845598
calm,ml_forecast,1.0,-11615409.033333333,-42623409.02003875,19392590.953372076,-3.5185459190301136e-05,-0.00013896012357246987,18944000.019999996,-2143409.0233333353,-30559409.053333327,0.3868555204249131
