scenario,tech,effect_scale,profit_with_inventory,profit,ci_low,ci_high,satisfaction,fill_rate,costs_tech,profit_cost_x0.5,profit_cost_x2,breakeven_cost_mult
calm,aps,0.5,7776351.292886098,-15909898.750332642,-35855676.88533349,4035879.384668205,0.0005007622371276388,0.0010055017949191132,13824000.0,-8997898.750332642,-29733898.750332642,-0.1508896665460535
calm,aps,1.0,20025399.191277314,-22100205.947332762,-49663092.23146203,5462680.3367965035,0.0008167816059385139,0.0016259222924293012,13824000.0,-15188205.947332762,-35924205.94733276,-0.5986838792920111
calm,aps,1.5,24045395.404251862,-24077663.861333467,-55259852.8479874,7104525.125320468,0.001006067728895854,0.0020013069884942335,13824000.0,-17165663.861333467,-37901663.86133347,-0.7417291566358122
calm,blockchain,0.5,157309888.09854838,153434429.0980011,152794720.36633474,154074137.82966745,0.00047960126751127964,1.333082207066738e-06,10751999.94,158810429.0680011,142682429.1580011,15.270315285920761
calm,blockchain,1.0,321317020.85150886,313612653.32233375,312481819.50109273,314743487.1435748,0.000954660405800863,1.819464526287007e-06,10751999.94,318988653.2923338,302860653.38233376,30.167843663728085
calm,blockchain,1.5,481445174.59530234,469736630.815667,468179215.38076395,471294046.25057,0.001426039727620961,2.140030429361358e-06,10751999.94,475112630.785667,458984630.875667,44.68830296102727
calm,control_tower,0.5,29386430.332415517,27688018.412000276,5925614.738146573,49450422.08585398,0.0004731372553758217,0.0009028026799641542,35072000.15999999,45224018.49200027,-7383981.747999713,1.7894622002077536
calm,control_tower,1.0,62782973.65471242,91467891.18966675,64312079.43750396,118623702.94182953,0.000523565376967879,0.0009659579061556715,35072000.15999999,109003891.26966675,56395891.02966676,3.608003272479079
calm,control_tower,1.5,65431518.34060516,108221448.07533391,80503305.61218154,135939590.53848627,0.0004583657318581902,0.0008179020927282103,35072000.15999999,125757448.1553339,73149447.91533393,4.085693646830034
calm,ml_forecast,0.5,-5289231.738465627,-15401286.028999329,-31316197.17023994,513625.1122412812,0.00019037307574214143,0.0003192990503506965,18944000.019999996,-5929286.018999331,-34345286.048999324,0.18700981773967862
calm,ml_forecast,1.0,-7326362.238159942,-20133638.692666117,-44488780.599942304,4221503.21461007,0.0002515483368546752,0.0004305425796276019,18944000.019999996,-10661638.68266612,-39077638.71266611,-0.06279764946210764
calm,ml_forecast,1.5,-14782087.55469691,-32435684.67366638,-61538008.74558644,-3333360.6017463207,0.00026104899230923554,0.00043878269633028285,18944000.019999996,-22963684.663666382,-51379684.693666376,-0.7121877449019549
calm,rfid,0.5,42576092.44856644,72577218.6540006,56763350.4657178,88391086.8422834,-8.33395361885055e-05,-0.00013832065797124703,13824000.0,79489218.6540006,58753218.654000595,6.25008815494796
