tech,scope,firms,measure,mean,ci_low,ci_high,base_mean
aps,all,6,network_profit,-32224597.90799942,-57462521.95443184,-6986673.861566998,32433544113.311333
aps,all,6,satisfaction_index,0.0008194920834625364,0.0006706777579384419,0.0009683064089866309,0.9615006629437413
aps,all,6,fill_rate,0.0016257240769002369,0.001324465572101138,0.0019269825816993357,0.9835936788846085
aps,all,6,retail_on_time_rate,4.386523249281238e-05,-2.713143166586057e-05,0.00011486189665148533,0.9134991801295925
aps,all,6,quality_mean,-3.26476236770142e-05,-6.378971958804323e-05,-1.505527765985184e-06,0.9782703473127962
aps,all,6,co2_kg,10060256.96924626,6281252.591817394,13839261.346675128,2975469535.6679535
aps,all,6,costs_tech,13824000.0,13824000.0,13824000.0,0.0
aps,all,6,costs_holding,44914817.68166664,40898660.450173,48930974.91316029,1071385462.8423334
aps,all,6,costs_shipping,17353385.04666675,11234431.606235739,23472338.48709776,4465750363.3359995
aps,all,6,costs_stockout,-26647660.799333327,-31588655.82723647,-21706665.771430183,268897126.5156667
aps,all,6,costs_scrap,27565418.85900003,24940183.91619746,30190653.8018026,2473340547.9873333
aps,all,6,costs_handling,4292.6973333333,3560.2923308412674,5025.102335825332,2161723.145
aps,all,6,bullwhip_DC,-0.0259289349505717,-0.03997999800906769,-0.01187787189207571,8.097125892948798
aps,all,6,bullwhip_MFG,-1.3190469963293183,-1.62817705658471,-1.0099169360739266,23.942497547522198
aps,all,6,bullwhip_CM,-10.533410135541322,-12.755300000806823,-8.311520270275821,106.58600832614181
aps,tier,2,network_profit,-26210151.097333018,-47907366.414158136,-4512935.780507896,32433544113.311333
aps,tier,2,satisfaction_index,0.0005794632777508283,0.00046901683282910076,0.0006899097226725559,0.9615006629437413
aps,tier,2,fill_rate,0.0011305388732202992,0.0009100394939989102,0.0013510382524416881,0.9835936788846085
aps,tier,2,retail_on_time_rate,1.468846934255715e-05,-4.7539617694840176e-05,7.691655637995447e-05,0.9134991801295925
aps,tier,2,quality_mean,4.8936501689448665e-05,1.9148085633402703e-05,7.872491774549463e-05,0.9782703473127962
aps,tier,2,co2_kg,5893163.320995713,3468347.533673709,8317979.108317716,2975469535.6679535
aps,tier,2,costs_tech,7680000.0,7680000.0,7680000.0,0.0
aps,tier,2,costs_holding,28687633.989999983,25566097.876619413,31809170.103380553,1071385462.8423334
aps,tier,2,costs_shipping,10108115.958666738,6161639.614614772,14054592.302718705,4465750363.3359995
aps,tier,2,costs_stockout,-18531126.441333335,-22147352.912805147,-14914899.969861522,268897126.5156667
aps,tier,2,costs_scrap,18942429.180000003,16412428.785117928,21472429.57488208,2473340547.9873333
aps,tier,2,costs_handling,3101.1503333333103,2500.9301705072658,3701.370496159355,2161723.145
aps,tier,2,bullwhip_DC,-0.01447401917760806,-0.025679722514853728,-0.0032683158403623916,8.097125892948798
aps,tier,2,bullwhip_MFG,-0.7576833136690646,-0.993901744574127,-0.5214648827640022,23.942497547522198
aps,tier,2,bullwhip_CM,-6.729961357588989,-8.058910353887367,-5.4010123612906105,106.58600832614181
blockchain,all,36,network_profit,685500352.9150004,683179868.2812588,687820837.548742,32433544113.311333
blockchain,all,36,satisfaction_index,0.002097361072335439,0.002093408731134036,0.0021013134135368424,0.9615006629437413
blockchain,all,36,fill_rate,2.030784686690712e-06,1.6760794894024503e-08,4.0448085784874e-06,0.9835936788846085
blockchain,all,36,retail_on_time_rate,1.8707267641896823e-06,-1.954909468578217e-06,5.696362996957582e-06,0.9134991801295925
blockchain,all,36,quality_mean,0.010478922309814209,0.010459498796556707,0.01049834582307171,0.9782703473127962
blockchain,all,36,co2_kg,69387.82818088532,-34472.82096385474,173248.47732562537,2975469535.6679535
blockchain,all,36,costs_tech,13311999.839999994,13311999.839999992,13311999.839999996,0.0
blockchain,all,36,costs_holding,22575863.375333313,22016685.945528466,23135040.80513816,1071385462.8423334
blockchain,all,36,costs_shipping,44591.82666664124,-105723.03812404258,194906.69145732507,4465750363.3359995
blockchain,all,36,costs_stockout,-33277.0263333261,-66280.20887350508,-273.84379314712714,268897126.5156667
blockchain,all,36,costs_scrap,-1055025544.9580001,-1057156444.0571017,-1052894645.8588984,2473340547.9873333
blockchain,all,36,costs_handling,4.858999999969577,0.11927565677346053,9.598724343165694,2161723.145
blockchain,all,36,bullwhip_DC,9.380035227728456e-05,-0.00025337582101323685,0.00044097652556780595,8.097125892948798
blockchain,all,36,bullwhip_MFG,-0.0008246685123075063,-0.00624787957905571,0.004598542554440698,23.942497547522198
blockchain,all,36,bullwhip_CM,0.0036537744150498003,-0.10811641235409104,0.11542396118419064,106.58600832614181
blockchain,tier,34,network_profit,688060352.9003335,685739868.2647518,690380837.5359153,32433544113.311333
blockchain,tier,34,satisfaction_index,0.002097361072335439,0.002093408731134036,0.0021013134135368424,0.9615006629437413
blockchain,tier,34,fill_rate,2.030784686690712e-06,1.6760794894024503e-08,4.0448085784874e-06,0.9835936788846085
blockchain,tier,34,retail_on_time_rate,1.8707267641896823e-06,-1.954909468578217e-06,5.696362996957582e-06,0.9134991801295925
blockchain,tier,34,quality_mean,0.010478922309814209,0.010459498796556707,0.01049834582307171,0.9782703473127962
blockchain,tier,34,co2_kg,69387.82818088532,-34472.82096385474,173248.47732562537,2975469535.6679535
blockchain,tier,34,costs_tech,10751999.94,10751999.94,10751999.94,0.0
blockchain,tier,34,costs_holding,22575863.375333313,22016685.945528466,23135040.80513816,1071385462.8423334
blockchain,tier,34,costs_shipping,44591.82666664124,-105723.03812404258,194906.69145732507,4465750363.3359995
blockchain,tier,34,costs_stockout,-33277.0263333261,-66280.20887350508,-273.84379314712714,268897126.5156667
blockchain,tier,34,costs_scrap,-1055025544.9580001,-1057156444.0571017,-1052894645.8588984,2473340547.9873333
blockchain,tier,34,costs_handling,4.858999999969577,0.11927565677346053,9.598724343165694,2161723.145
blockchain,tier,34,bullwhip_DC,9.380035227728456e-05,-0.00025337582101323685,0.00044097652556780595,8.097125892948798
blockchain,tier,34,bullwhip_MFG,-0.0008246685123075063,-0.00624787957905571,0.004598542554440698,23.942497547522198
blockchain,tier,34,bullwhip_CM,0.0036537744150498003,-0.10811641235409104,0.11542396118419064,106.58600832614181
control_tower,all,48,network_profit,98536167.71666692,73101871.01994008,123970464.41339377,32433544113.311333
control_tower,all,48,satisfaction_index,0.00045606037321020975,0.0003126950009334159,0.0005994257454870036,0.9615006629437413
control_tower,all,48,fill_rate,0.0008138076339473758,0.0005367219043889984,0.0010908933635057532,0.9835936788846085
control_tower,all,48,retail_on_time_rate,1.8771906790948645e-05,-4.4850465447536517e-05,8.23942790294338e-05,0.9134991801295925
control_tower,all,48,quality_mean,0.00021762492099612895,0.00019132775379680458,0.00024392208819545331,0.9782703473127962
control_tower,all,48,co2_kg,670410.6554930687,-2370156.6665013367,3710977.9774874737,2975469535.6679535
control_tower,all,48,costs_tech,35072000.15999999,35072000.15999999,35072000.15999999,0.0
control_tower,all,48,costs_holding,-32843605.570000015,-37669657.542815365,-28017553.597184666,1071385462.8423334
control_tower,all,48,costs_shipping,-2686510.009999911,-8193924.945908705,2820904.9259088836,4465750363.3359995
control_tower,all,48,costs_stockout,-13337570.12533333,-17879030.176164538,-8796110.07450212,268897126.5156667
control_tower,all,48,costs_scrap,-19592969.39633333,-23036169.251810454,-16149769.540856203,2473340547.9873333
control_tower,all,48,costs_handling,2398.921000000027,1675.5697922569266,3122.2722077431276,2161723.145
control_tower,all,48,bullwhip_DC,-2.3024942483610475,-2.3702927873817456,-2.2346957093403494,8.097125892948798
control_tower,all,48,bullwhip_MFG,-13.000988548450131,-13.56699458734356,-12.434982509556702,23.942497547522198
control_tower,all,48,bullwhip_CM,-77.99387491308637,-81.94239479510634,-74.0453550310664,106.58600832614181
control_tower,tier,12,network_profit,7852582.755000178,-10351538.67929376,26056704.189294115,32433544113.311333
control_tower,tier,12,satisfaction_index,0.000493135250733238,0.0003722809889490281,0.000613989512517448,0.9615006629437413
control_tower,tier,12,fill_rate,0.0009260377851351216,0.0006911929712533423,0.001160882599016901,0.9835936788846085
control_tower,tier,12,retail_on_time_rate,5.108317329824974e-05,4.29492356336032e-06,9.787142303313916e-05,0.9134991801295925
control_tower,tier,12,quality_mean,7.395703088105924e-05,5.045795509726701e-05,9.745610666485145e-05,0.9782703473127962
control_tower,tier,12,co2_kg,1290696.893088166,-719289.2742108412,3300683.0603871727,2975469535.6679535
control_tower,tier,12,costs_tech,12288000.0,12288000.0,12288000.0,0.0
control_tower,tier,12,costs_holding,17047149.227999985,14812036.610398019,19282261.845601954,1071385462.8423334
control_tower,tier,12,costs_shipping,772546.2859999656,-2733865.283322517,4278957.855322448,4465750363.3359995
control_tower,tier,12,costs_stockout,-15176789.087000001,-19025639.7133829,-11327938.460617105,268897126.5156667
