tech,scope,firms,measure,mean,ci_low,ci_high,base_mean,git_commit,git_dirty,run_date
aps,all,6,network_profit,-10242930.659666443,-31793677.69494787,11307816.37561498,42097347577.692,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,all,6,network_profit_with_inventory,11025393.385344187,-5293773.029438091,27344559.800126463,41399307504.953445,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,all,6,satisfaction_index,0.0005098717349506399,0.0003630492659491806,0.0006566942039520992,0.9614914698367085,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,all,6,fill_rate,0.001008158266701109,0.0007079200288232529,0.001308396504578965,0.9835936735168377,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,all,6,retail_on_time_rate,2.9889360864613725e-05,-3.3670297346957204e-05,9.344901907618466e-05,0.9134991801295925,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,all,6,quality_mean,-1.587103329652173e-05,-4.9318318825669104e-05,1.757625223262564e-05,0.9782243951970597,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,all,6,co2_kg,5650007.704562727,2901223.155398309,8398792.253727145,2975435457.861808,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,all,6,costs_tech,12390000.0,11832909.569225965,12947090.430774035,0.0,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,all,6,costs_holding,34086067.31666667,28527183.894131258,39644950.73920208,1212962200.4356668,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,all,6,costs_shipping,9780597.346333282,5194590.36725391,14366604.325412653,4516546662.023,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,all,6,costs_stockout,-19427477.613,-25216968.753263175,-13637986.472736828,316103452.5773334,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,all,6,scrap_value,18176241.66533327,14699453.932152187,21653029.398514353,2534818648.414666,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,all,6,costs_handling,2750.543333333327,1984.4231930108103,3516.663473655844,2161722.944,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,all,6,bullwhip_DC,-0.015076847635159159,-0.024940900635565928,-0.005212794634752389,8.097005523326827,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,all,6,bullwhip_MFG,-0.8039355486809225,-1.0621155831624904,-0.5457555141993546,23.944031385413812,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,all,6,bullwhip_CM,-7.420260865435732,-9.47897388103878,-5.361547849832685,106.60575902029146,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,tier,2,network_profit,-8303922.069667308,-25520703.963995837,8912859.824661223,42097347577.692,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,tier,2,network_profit_with_inventory,13398959.496757507,2636634.245549256,24161284.74796576,41399307504.953445,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,tier,2,satisfaction_index,0.00035739765349483975,0.0002529389196113993,0.0004618563873782802,0.9614914698367085,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,tier,2,fill_rate,0.0007028958997242059,0.0004888057772262506,0.0009169860222221611,0.9835936735168377,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,tier,2,retail_on_time_rate,-7.5313431292374965e-06,-5.866753535942206e-05,4.3604849100947076e-05,0.9134991801295925,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,tier,2,quality_mean,4.104553285737185e-05,1.0215851175295167e-05,7.187521453944854e-05,0.9782243951970597,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,tier,2,co2_kg,3335337.8795389016,1736464.509210186,4934211.249867617,2975435457.861808,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,tier,2,costs_tech,6984000.0,6427499.769290874,7540500.230709126,0.0,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,tier,2,costs_holding,19187815.345333338,15097195.152211525,23278435.53845515,1212962200.4356668,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,tier,2,costs_shipping,5178062.518000031,2601480.094534543,7754644.941465519,4516546662.023,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,tier,2,costs_stockout,-13544279.655666672,-17671646.28270871,-9416913.028624635,316103452.5773334,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,tier,2,scrap_value,11608049.069999997,8510878.580247352,14705219.559752641,2534818648.414666,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,tier,2,costs_handling,1981.5006666666518,1376.5623735539448,2586.438959779359,2161722.944,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,tier,2,bullwhip_DC,-0.006078293734277522,-0.014600665366956592,0.002444077898401548,8.097005523326827,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
aps,tier,2,bullwhip_MFG,-0.39235823768994843,-0.5354211192007592,-0.24929535617913762,23.944031385413812,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
