tech,scope,firms,measure,mean,ci_low,ci_high,base_mean
aps,all,6,network_profit,-10998330.659666443,-32533826.209652893,10537164.890320009,42097347577.692
aps,all,6,network_profit_with_inventory,10269993.385344187,-6131589.849503808,26671576.62019218,41399307504.953445
aps,all,6,satisfaction_index,0.0005098717349506399,0.0003630492659491806,0.0006566942039520992,0.9614914698367085
aps,all,6,fill_rate,0.001008158266701109,0.0007079200288232529,0.001308396504578965,0.9835936735168377
aps,all,6,retail_on_time_rate,2.9889360864613725e-05,-3.3670297346957204e-05,9.344901907618466e-05,0.9134991801295925
aps,all,6,quality_mean,-1.587103329652173e-05,-4.9318318825669104e-05,1.757625223262564e-05,0.9782243951970597
aps,all,6,co2_kg,5650007.704562727,2901223.155398309,8398792.253727145,2975435457.861808
aps,all,6,costs_tech,13145400.0,12890579.643954398,13400220.356045602,0.0
aps,all,6,costs_holding,34086067.31666667,28527183.894131258,39644950.73920208,1212962200.4356668
aps,all,6,costs_shipping,9780597.346333282,5194590.36725391,14366604.325412653,4516546662.023
aps,all,6,costs_stockout,-19427477.613,-25216968.753263175,-13637986.472736828,316103452.5773334
aps,all,6,scrap_value,18176241.66533327,14699453.932152187,21653029.398514353,2534818648.414666
aps,all,6,costs_handling,2750.543333333327,1984.4231930108103,3516.663473655844,2161722.944
aps,all,6,bullwhip_DC,-0.015076847635159159,-0.024940900635565928,-0.005212794634752389,8.097005523326827
aps,all,6,bullwhip_MFG,-0.8039355486809225,-1.0621155831624904,-0.5457555141993546,23.944031385413812
aps,all,6,bullwhip_CM,-7.420260865435732,-9.47897388103878,-5.361547849832685,106.60575902029146
aps,tier,2,network_profit,-8648922.069667308,-25859377.720705956,8561533.581371339,42097347577.692
aps,tier,2,network_profit_with_inventory,13053959.496757507,2241412.4163470697,23866506.577167943,41399307504.953445
aps,tier,2,satisfaction_index,0.00035739765349483975,0.0002529389196113993,0.0004618563873782802,0.9614914698367085
aps,tier,2,fill_rate,0.0007028958997242059,0.0004888057772262506,0.0009169860222221611,0.9835936735168377
aps,tier,2,retail_on_time_rate,-7.5313431292374965e-06,-5.866753535942206e-05,4.3604849100947076e-05,0.9134991801295925
aps,tier,2,quality_mean,4.104553285737185e-05,1.0215851175295167e-05,7.187521453944854e-05,0.9782243951970597
aps,tier,2,co2_kg,3335337.8795389016,1736464.509210186,4934211.249867617,2975435457.861808
aps,tier,2,costs_tech,7329000.0,7095300.0637256075,7562699.9362743925,0.0
aps,tier,2,costs_holding,19187815.345333338,15097195.152211525,23278435.53845515,1212962200.4356668
aps,tier,2,costs_shipping,5178062.518000031,2601480.094534543,7754644.941465519,4516546662.023
aps,tier,2,costs_stockout,-13544279.655666672,-17671646.28270871,-9416913.028624635,316103452.5773334
aps,tier,2,scrap_value,11608049.069999997,8510878.580247352,14705219.559752641,2534818648.414666
aps,tier,2,costs_handling,1981.5006666666518,1376.5623735539448,2586.438959779359,2161722.944
aps,tier,2,bullwhip_DC,-0.006078293734277522,-0.014600665366956592,0.002444077898401548,8.097005523326827
aps,tier,2,bullwhip_MFG,-0.39235823768994843,-0.5354211192007592,-0.24929535617913762,23.944031385413812
aps,tier,2,bullwhip_CM,-4.221185816611655,-5.322347174364058,-3.120024458859252,106.60575902029146
blockchain,all,34,network_profit,45502587.96700058,18680422.79910785,72324753.13489331,42097347577.692
blockchain,all,34,network_profit_with_inventory,46755877.288235985,19264579.628341366,74247174.94813061,41399307504.953445
blockchain,all,34,satisfaction_index,0.000154719132629851,7.50746610333806e-05,0.0002343636042263214,0.9614914698367085
blockchain,all,34,fill_rate,2.163153849229123e-07,-8.037510512257608e-08,5.130058749684007e-07,0.9835936735168377
blockchain,all,34,retail_on_time_rate,0.0,0.0,0.0,0.9134991801295925
blockchain,all,34,quality_mean,0.0007730548746868034,0.0003750640686111767,0.00117104568076243,0.9782243951970597
blockchain,all,34,co2_kg,3357.3654545148215,-7885.1579769159525,14599.888885945596,2975435457.861808
blockchain,all,34,costs_tech,7985599.9399999995,7186264.936596071,8784934.943403928,0.0
blockchain,all,34,costs_holding,1736949.2516666492,836965.1090800967,2636933.394253202,1212962200.4356668
blockchain,all,34,costs_shipping,17151.468666617075,-3343.736142548296,37646.673475782445,4516546662.023
blockchain,all,34,costs_stockout,-4164.318666669727,-9875.462327987338,1546.8249946478836,316103452.5773334
blockchain,all,34,scrap_value,-80695387.01600003,-122369899.35712063,-39020874.67487943,2534818648.414666
blockchain,all,34,costs_handling,0.5296666666399688,-0.22785285345635697,1.2871861867362946,2161722.944
blockchain,all,34,bullwhip_DC,5.601038149283255e-06,-1.7088507078581564e-05,2.8290583377148074e-05,8.097005523326827
blockchain,all,34,bullwhip_MFG,-0.00044554071431335274,-0.001186230889371895,0.0002951494607451897,23.944031385413812
blockchain,all,34,bullwhip_CM,0.0008712337727421489,-0.00950147634360446,0.011243943889088757,106.60575902029146
control_tower,all,48,network_profit,41053059.91200078,17255534.32613711,64850585.497864455,42097347577.692
control_tower,all,48,network_profit_with_inventory,33233708.717669677,16530118.688907607,49937298.746431746,41399307504.953445
control_tower,all,48,satisfaction_index,0.0004309533161711343,0.00030709911097781897,0.0005548075213644496,0.9614914698367085
control_tower,all,48,fill_rate,0.0008260753217950537,0.0005844398627992665,0.001067710780790841,0.9835936735168377
control_tower,all,48,retail_on_time_rate,-1.383852814262898e-05,-5.884988859853785e-05,3.117283231327989e-05,0.9134991801295925
control_tower,all,48,quality_mean,0.00011033606858191399,6.858675948441887e-05,0.00015208537767940911,0.9782243951970597
control_tower,all,48,co2_kg,2482480.0738203526,466107.24777848553,4498852.89986222,2975435457.861808
control_tower,all,48,costs_tech,33291000.15999999,31778681.76389049,34803318.55610949,0.0
control_tower,all,48,costs_holding,-7985913.983333349,-12158895.051163578,-3812932.9155031205,1212962200.4356668
control_tower,all,48,costs_shipping,1525031.8656665485,-2725489.8436602093,5775553.574993307,4516546662.023
control_tower,all,48,costs_stockout,-15916390.611000001,-20572907.51944787,-11259873.702552132,316103452.5773334
control_tower,all,48,scrap_value,-3569585.076666673,-6737098.988189679,-402071.16514366725,2534818648.414666
control_tower,all,48,costs_handling,2194.4209999999653,1571.6612364540156,2817.180763545915,2161722.944
control_tower,all,48,bullwhip_DC,-1.0943512941062834,-1.2889930800143339,-0.8997095081982328,8.097005523326827
control_tower,all,48,bullwhip_MFG,-7.932631115843562,-9.323725322893997,-6.541536908793127,23.944031385413812
control_tower,all,48,bullwhip_CM,-50.399123013809906,-59.310609634451325,-41.487636393168486,106.60575902029146
control_tower,tier,12,network_profit,7217135.477667745,-3297749.526296029,17732020.481631517,42097347577.692
control_tower,tier,12,network_profit_with_inventory,7802007.831110128,-35647.40171138663,15639663.063931644,41399307504.953445
control_tower,tier,12,satisfaction_index,0.00021447893676755555,0.00014670890374930695,0.00028224896978580415,0.9614914698367085
control_tower,tier,12,fill_rate,0.0004155834593991751,0.00028186608982054827,0.000549300828977802,0.9835936735168377
control_tower,tier,12,retail_on_time_rate,1.363633370613885e-06,-2.950512462400761e-05,3.223239136523538e-05,0.9134991801295925
control_tower,tier,12,quality_mean,3.139058528395614e-05,1.3309522731125916e-05,4.9471647836786374e-05,0.9782243951970597
control_tower,tier,12,co2_kg,173872.62066529592,-1029176.7294078558,1376921.9707384477,2975435457.861808
control_tower,tier,12,costs_tech,11664000.0,11134136.620341197,12193863.379658803,0.0
