condition,arm,tech,firms,groups,measure,mean,ci_low,ci_high
calm,ct_scattered,control_tower,6,6,network_profit,-5120000.0,-5120000.0,-5120000.0
calm,ct_scattered,control_tower,6,6,satisfaction_index,0.0,0.0,0.0
calm,ct_scattered,control_tower,6,6,fill_rate,0.0,0.0,0.0
calm,ct_scattered,control_tower,6,6,retail_on_time_rate,0.0,0.0,0.0
calm,ct_scattered,control_tower,6,6,quality_mean,0.0,0.0,0.0
calm,ct_scattered,control_tower,6,6,costs_tech,5120000.0,5120000.0,5120000.0
calm,ct_scattered,control_tower,6,6,costs_stockout,0.0,0.0,0.0
calm,ct_scattered,control_tower,6,6,costs_holding,0.0,0.0,0.0
calm,ct_scattered,control_tower,6,6,costs_scrap,0.0,0.0,0.0
calm,ct_scattered,control_tower,6,6,bullwhip_DC,0.0,0.0,0.0
calm,ct_scattered,control_tower,6,6,bullwhip_MFG,0.0,0.0,0.0
calm,ct_scattered,control_tower,6,6,bullwhip_CM,0.0,0.0,0.0
calm,ct_dyads,control_tower,6,3,network_profit,5594991.589333725,-3095660.429254449,14285643.607921898
calm,ct_dyads,control_tower,6,3,satisfaction_index,0.0002918125022568496,0.0002341726893253762,0.000349452315188323
calm,ct_dyads,control_tower,6,3,fill_rate,0.0005590283413073327,0.0004385540915677939,0.0006795025910468715
calm,ct_dyads,control_tower,6,3,retail_on_time_rate,1.1241105561288212e-05,-2.8824587219532606e-05,5.130679834210903e-05
calm,ct_dyads,control_tower,6,3,quality_mean,4.46299996741321e-05,2.6932971317410003e-05,6.23270280308542e-05
calm,ct_dyads,control_tower,6,3,costs_tech,7296000.0,7296000.0,7296000.0
calm,ct_dyads,control_tower,6,3,costs_stockout,-9162336.208999997,-11136471.163947266,-7188201.254052728
calm,ct_dyads,control_tower,6,3,costs_holding,8040315.09066664,6427002.502570558,9653627.67876272
calm,ct_dyads,control_tower,6,3,costs_scrap,5148451.102666696,4048428.086495026,6248474.118838365
calm,ct_dyads,control_tower,6,3,bullwhip_DC,-1.2597091131249603,-1.3062089394693128,-1.2132092867806077
calm,ct_dyads,control_tower,6,3,bullwhip_MFG,-4.159103740101228,-4.3651127666414355,-3.953094713561021
calm,ct_dyads,control_tower,6,3,bullwhip_CM,-20.85009154697504,-22.272041656289705,-19.428141437660376
calm,ct_downstream_chain,control_tower,6,1,network_profit,2725254.2500002543,-14645822.647414885,20096331.147415392
calm,ct_downstream_chain,control_tower,6,1,satisfaction_index,0.0002579632494631075,0.00015389452365694933,0.0003620319752692657
calm,ct_downstream_chain,control_tower,6,1,fill_rate,0.0005087016089629322,0.0003088024055780606,0.0007086008123478038
calm,ct_downstream_chain,control_tower,6,1,retail_on_time_rate,-1.192325064554023e-05,-4.9533626579921725e-05,2.5687125288841262e-05
calm,ct_downstream_chain,control_tower,6,1,quality_mean,3.594710087663211e-05,1.3804641934687564e-05,5.8089559818576646e-05
calm,ct_downstream_chain,control_tower,6,1,costs_tech,7423999.979999999,7423999.979999998,7423999.9799999995
calm,ct_downstream_chain,control_tower,6,1,costs_stockout,-8336743.160999995,-11612672.353501435,-5060813.968498555
calm,ct_downstream_chain,control_tower,6,1,costs_holding,5637946.672333348,3754300.0765052047,7521593.268161491
calm,ct_downstream_chain,control_tower,6,1,costs_scrap,4434999.440666644,2663313.1518899873,6206685.7294433005
calm,ct_downstream_chain,control_tower,6,1,bullwhip_DC,-0.8699415713677915,-0.9135170360569538,-0.8263661066786292
calm,ct_downstream_chain,control_tower,6,1,bullwhip_MFG,-5.441531921280415,-5.732864722345689,-5.150199120215141
calm,ct_downstream_chain,control_tower,6,1,bullwhip_CM,-25.48876170638489,-27.41295797497382,-23.564565437795956
calm,ct_upstream_chain,control_tower,6,1,network_profit,28770237.311333593,9686415.904253326,47854058.71841386
calm,ct_upstream_chain,control_tower,6,1,satisfaction_index,0.0002835675325764934,0.00021939761383529106,0.00034773745131769576
calm,ct_upstream_chain,control_tower,6,1,fill_rate,0.0005190359820972564,0.0004026029706791577,0.0006354689935153552
calm,ct_upstream_chain,control_tower,6,1,retail_on_time_rate,7.048326572704304e-06,-2.760026822919844e-05,4.1696921374607044e-05
calm,ct_upstream_chain,control_tower,6,1,quality_mean,0.00010967521778018074,8.91432289167579e-05,0.00013020720664360356
calm,ct_upstream_chain,control_tower,6,1,costs_tech,9984000.0,9984000.0,9984000.0
calm,ct_upstream_chain,control_tower,6,1,costs_stockout,-8506399.871,-10414415.693770941,-6598384.048229056
calm,ct_upstream_chain,control_tower,6,1,costs_holding,-8635391.385000015,-11496408.896197718,-5774373.873802313
calm,ct_upstream_chain,control_tower,6,1,costs_scrap,-3541196.597666661,-6072881.63818619,-1009511.5571471318
calm,ct_upstream_chain,control_tower,6,1,bullwhip_DC,-0.011764781881757832,-0.020327686280337032,-0.0032018774831786313
calm,ct_upstream_chain,control_tower,6,1,bullwhip_MFG,-3.5110824105199803,-3.7006663744251687,-3.321498446614792
calm,ct_upstream_chain,control_tower,6,1,bullwhip_CM,-51.49074787523702,-54.15915641741282,-48.82233933306122
calm,bc_scattered,blockchain,6,6,network_profit,-1536000.0,-1536000.0,-1536000.0
calm,bc_scattered,blockchain,6,6,satisfaction_index,0.0,0.0,0.0
calm,bc_scattered,blockchain,6,6,fill_rate,0.0,0.0,0.0
calm,bc_scattered,blockchain,6,6,retail_on_time_rate,0.0,0.0,0.0
calm,bc_scattered,blockchain,6,6,quality_mean,0.0,0.0,0.0
calm,bc_scattered,blockchain,6,6,costs_tech,1536000.0,1536000.0,1536000.0
calm,bc_scattered,blockchain,6,6,costs_stockout,0.0,0.0,0.0
calm,bc_scattered,blockchain,6,6,costs_holding,0.0,0.0,0.0
calm,bc_scattered,blockchain,6,6,costs_scrap,0.0,0.0,0.0
calm,bc_scattered,blockchain,6,6,bullwhip_DC,0.0,0.0,0.0
calm,bc_scattered,blockchain,6,6,bullwhip_MFG,0.0,0.0,0.0
calm,bc_scattered,blockchain,6,6,bullwhip_CM,0.0,0.0,0.0
calm,bc_dyads,blockchain,6,3,network_profit,33051109.463333383,32916637.47172206,33185581.454944707
calm,bc_dyads,blockchain,6,3,satisfaction_index,9.40901010314521e-05,9.332466651504486e-05,9.485553554785934e-05
calm,bc_dyads,blockchain,6,3,fill_rate,2.346914026081966e-09,-2.1924688026457533e-09,6.8862968548096854e-09
calm,bc_dyads,blockchain,6,3,retail_on_time_rate,0.0,0.0,0.0
calm,bc_dyads,blockchain,6,3,quality_mean,0.0004704446378721842,0.0004666172242325161,0.0004742720515118523
calm,bc_dyads,blockchain,6,3,costs_tech,3072000.0,3072000.0,3072000.0
calm,bc_dyads,blockchain,6,3,costs_stockout,-38.503666667143506,-113.03546928992053,36.028135955633516
calm,bc_dyads,blockchain,6,3,costs_holding,1083423.297666653,1051114.9844686412,1115731.610864665
calm,bc_dyads,blockchain,6,3,costs_scrap,-54490249.57000003,-54597271.48445422,-54383227.65554584
calm,bc_dyads,blockchain,6,3,bullwhip_DC,2.047726350262735e-07,-3.108418285302741e-07,7.20387098582821e-07
calm,bc_dyads,blockchain,6,3,bullwhip_MFG,-1.8636727028583285e-06,-1.2700666089757986e-05,8.97332068404133e-06
calm,bc_dyads,blockchain,6,3,bullwhip_CM,-0.014387209141729803,-0.02073012303328977,-0.008044295250169836
calm,bc_hub_cm3,blockchain,6,1,network_profit,224040673.37833378,223268620.63860267,224812726.11806488
calm,bc_hub_cm3,blockchain,6,1,satisfaction_index,0.0008041736348700572,0.0007993496006499916,0.0008089976690901227
calm,bc_hub_cm3,blockchain,6,1,fill_rate,1.2835281603192547e-06,-3.156347922830077e-07,2.882691112921517e-06
calm,bc_hub_cm3,blockchain,6,1,retail_on_time_rate,0.0,0.0,0.0
calm,bc_hub_cm3,blockchain,6,1,quality_mean,0.004017659353949762,0.003993507185780473,0.0040418115221190504
calm,bc_hub_cm3,blockchain,6,1,costs_tech,2047999.9799999993,2047999.979999999,2047999.9799999995
calm,bc_hub_cm3,blockchain,6,1,costs_stockout,-21023.68233332833,-47211.92509770095,5164.560431044298
calm,bc_hub_cm3,blockchain,6,1,costs_holding,7921838.632666663,7683437.0944424765,8160240.17089085
calm,bc_hub_cm3,blockchain,6,1,costs_scrap,-341644409.3929999,-342387269.86039776,-340901548.925602
calm,bc_hub_cm3,blockchain,6,1,bullwhip_DC,-3.9819414752736054e-05,-0.00015250348294180093,7.286465343632883e-05
calm,bc_hub_cm3,blockchain,6,1,bullwhip_MFG,-0.0005246294268448063,-0.0038913659371713665,0.0028421070834817536
calm,bc_hub_cm3,blockchain,6,1,bullwhip_CM,0.0681210471022799,0.011601210864539038,0.12464088334002076
calm,bc_hub_cm1,blockchain,6,1,network_profit,65468787.3920002,65105840.537690334,65831734.24631006
calm,bc_hub_cm1,blockchain,6,1,satisfaction_index,0.00024550164526968563,0.00024351527681394812,0.0002474880137254231
