condition,arm,tech,firms,groups,measure,mean,ci_low,ci_high,git_commit,git_dirty,run_date
calm,ct_scattered,control_tower,6,6,network_profit,-3875420.0,-4134655.652178722,-3616184.347821278,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_scattered,control_tower,6,6,network_profit_with_inventory,-3875420.0,-4134655.652178722,-3616184.347821278,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_scattered,control_tower,6,6,satisfaction_index,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_scattered,control_tower,6,6,fill_rate,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_scattered,control_tower,6,6,retail_on_time_rate,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_scattered,control_tower,6,6,quality_mean,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_scattered,control_tower,6,6,costs_tech,3875420.0,3616184.347821278,4134655.652178722,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_scattered,control_tower,6,6,costs_stockout,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_scattered,control_tower,6,6,costs_holding,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_scattered,control_tower,6,6,scrap_value,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_scattered,control_tower,6,6,bullwhip_DC,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_scattered,control_tower,6,6,bullwhip_MFG,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_scattered,control_tower,6,6,bullwhip_CM,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_dyads,control_tower,6,3,network_profit,2320170.1040006,-1333285.9546894436,5973626.162690643,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_dyads,control_tower,6,3,network_profit_with_inventory,3213734.5639264425,252303.7867652895,6175165.341087596,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_dyads,control_tower,6,3,satisfaction_index,8.880654208507366e-05,6.052919683050325e-05,0.00011708388733964408,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_dyads,control_tower,6,3,fill_rate,0.00017922593332569958,0.00011957764138016936,0.00023887422527122982,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_dyads,control_tower,6,3,retail_on_time_rate,-8.533489512333828e-06,-3.076153514005236e-05,1.3694556115384706e-05,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_dyads,control_tower,6,3,quality_mean,8.768111379505357e-06,-4.484158161004221e-07,1.7984638575111134e-05,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_dyads,control_tower,6,3,costs_tech,5658000.0,5093685.785775458,6222314.214224542,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_dyads,control_tower,6,3,costs_stockout,-3453404.126999998,-4602714.033952028,-2304094.2200479684,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_dyads,control_tower,6,3,costs_holding,2098822.2333333176,1299205.7697126875,2898438.6969539477,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_dyads,control_tower,6,3,scrap_value,1416622.548333327,736986.5149872662,2096258.581679388,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_dyads,control_tower,6,3,bullwhip_DC,-0.3938474063391137,-0.45484960351263654,-0.33284520916559085,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_dyads,control_tower,6,3,bullwhip_MFG,-1.2334583354858148,-1.4372797584570116,-1.029636912514618,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_dyads,control_tower,6,3,bullwhip_CM,-6.003675178563232,-7.021523665734316,-4.985826691392148,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_downstream_chain,control_tower,6,1,network_profit,1380423.0290011088,-9098814.508402878,11859660.566405097,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_downstream_chain,control_tower,6,1,network_profit_with_inventory,4645166.352388,-1301442.8958850307,10591775.600661032,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_downstream_chain,control_tower,6,1,satisfaction_index,0.000126194228318884,6.958627821254204e-05,0.00018280217842522596,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_downstream_chain,control_tower,6,1,fill_rate,0.00024041484348344966,0.000135296787148429,0.00034553289981847034,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_downstream_chain,control_tower,6,1,retail_on_time_rate,1.0688513003949869e-05,-1.562405510957329e-05,3.700108111747302e-05,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_downstream_chain,control_tower,6,1,quality_mean,1.3901263379911821e-05,-2.953098221118305e-06,3.0755624980941944e-05,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_downstream_chain,control_tower,6,1,costs_tech,7337399.979999999,6170699.570709779,8504100.389290217,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_downstream_chain,control_tower,6,1,costs_stockout,-4631752.212333333,-6657052.192320316,-2606452.2323463494,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_downstream_chain,control_tower,6,1,costs_holding,3142452.396999979,1934246.7093152406,4350658.0846847175,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_downstream_chain,control_tower,6,1,scrap_value,2232787.246666638,1124173.0886528546,3341401.4046804216,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_downstream_chain,control_tower,6,1,bullwhip_DC,-0.366414536048593,-0.4509900293821244,-0.28183904271506155,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_downstream_chain,control_tower,6,1,bullwhip_MFG,-2.1496488860999197,-2.6326490240755747,-1.6666487481242644,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_downstream_chain,control_tower,6,1,bullwhip_CM,-10.243892660072218,-12.616756195394048,-7.871029124750388,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_upstream_chain,control_tower,6,1,network_profit,-1621060.7409990947,-9377664.346118875,6135542.864120685,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_upstream_chain,control_tower,6,1,network_profit_with_inventory,2684450.145846049,-906688.8260066165,6275589.117698714,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_upstream_chain,control_tower,6,1,satisfaction_index,0.00010219004947782384,6.692082251195776e-05,0.00013745927644368992,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_upstream_chain,control_tower,6,1,fill_rate,0.00018684234929290018,0.00012170924392170632,0.00025197545466409407,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_upstream_chain,control_tower,6,1,retail_on_time_rate,1.4886789084641213e-06,-1.556988651907739e-05,1.8547244336005632e-05,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_upstream_chain,control_tower,6,1,quality_mean,4.161135579414665e-05,2.2182939686515448e-05,6.103977190177786e-05,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_upstream_chain,control_tower,6,1,costs_tech,9019000.020000001,7590326.068070607,10447673.971929396,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_upstream_chain,control_tower,6,1,costs_stockout,-3599812.493,-4854920.290208141,-2344704.6957918582,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_upstream_chain,control_tower,6,1,costs_holding,34226.93933329582,-1006987.8293808446,1075441.7080474363,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_upstream_chain,control_tower,6,1,scrap_value,585887.5333333493,-441419.4487008827,1613194.5153675813,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_upstream_chain,control_tower,6,1,bullwhip_DC,-0.004108691079515362,-0.007448321824963968,-0.0007690603340667567,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_upstream_chain,control_tower,6,1,bullwhip_MFG,-1.1561431832513065,-1.4253195906306146,-0.8869667758719982,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_upstream_chain,control_tower,6,1,bullwhip_CM,-19.973298547552375,-24.367824254693875,-15.578772840410874,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_scattered,blockchain,6,6,network_profit,-594666.6666666666,-677239.0234300287,-512094.3099033046,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_scattered,blockchain,6,6,network_profit_with_inventory,-594666.6666666666,-677239.0234300287,-512094.3099033046,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_scattered,blockchain,6,6,satisfaction_index,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_scattered,blockchain,6,6,fill_rate,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_scattered,blockchain,6,6,retail_on_time_rate,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_scattered,blockchain,6,6,quality_mean,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_scattered,blockchain,6,6,costs_tech,594666.6666666666,512094.3099033046,677239.0234300287,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_scattered,blockchain,6,6,costs_stockout,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_scattered,blockchain,6,6,costs_holding,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_scattered,blockchain,6,6,scrap_value,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_scattered,blockchain,6,6,bullwhip_DC,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_scattered,blockchain,6,6,bullwhip_MFG,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_scattered,blockchain,6,6,bullwhip_CM,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_dyads,blockchain,6,3,network_profit,821812.2090001424,180520.27714814432,1463104.1408521405,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_dyads,blockchain,6,3,network_profit_with_inventory,882504.4899963379,220001.1226146234,1545007.8573780525,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_dyads,blockchain,6,3,satisfaction_index,6.023032331503586e-06,3.760235023066832e-06,8.28582963994034e-06,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_dyads,blockchain,6,3,fill_rate,3.0316193999624376e-12,-3.1680422729607457e-12,9.23128107288562e-12,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_dyads,blockchain,6,3,retail_on_time_rate,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_dyads,blockchain,6,3,quality_mean,3.0115154078558247e-05,1.8801172730874964e-05,4.142913542624153e-05,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_dyads,blockchain,6,3,costs_tech,1538133.3333333333,1248317.3128092801,1827949.3538573864,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
