condition,arm,tech,firms,groups,measure,mean,ci_low,ci_high
calm,ct_scattered,control_tower,6,6,network_profit,-5120000.0,-5120000.0,-5120000.0
calm,ct_scattered,control_tower,6,6,network_profit_with_inventory,-5120000.0,-5120000.0,-5120000.0
calm,ct_scattered,control_tower,6,6,satisfaction_index,0.0,0.0,0.0
calm,ct_scattered,control_tower,6,6,fill_rate,0.0,0.0,0.0
calm,ct_scattered,control_tower,6,6,retail_on_time_rate,0.0,0.0,0.0
calm,ct_scattered,control_tower,6,6,quality_mean,0.0,0.0,0.0
calm,ct_scattered,control_tower,6,6,costs_tech,5120000.0,5120000.0,5120000.0
calm,ct_scattered,control_tower,6,6,costs_stockout,0.0,0.0,0.0
calm,ct_scattered,control_tower,6,6,costs_holding,0.0,0.0,0.0
calm,ct_scattered,control_tower,6,6,scrap_value,0.0,0.0,0.0
calm,ct_scattered,control_tower,6,6,bullwhip_DC,0.0,0.0,0.0
calm,ct_scattered,control_tower,6,6,bullwhip_MFG,0.0,0.0,0.0
calm,ct_scattered,control_tower,6,6,bullwhip_CM,0.0,0.0,0.0
calm,ct_dyads,control_tower,6,3,network_profit,7498139.529666901,908516.0942312898,14087762.965102512
calm,ct_dyads,control_tower,6,3,network_profit_with_inventory,9696084.80609309,4714361.398882019,14677808.213304158
calm,ct_dyads,control_tower,6,3,satisfaction_index,0.00018754830882184253,0.00014576732565212857,0.0002293292919915565
calm,ct_dyads,control_tower,6,3,fill_rate,0.0003648960669159614,0.0002800402035022245,0.0004497519303296983
calm,ct_dyads,control_tower,6,3,retail_on_time_rate,2.2276113458915187e-06,-2.5290252799452335e-05,2.9745475491235375e-05
calm,ct_dyads,control_tower,6,3,quality_mean,2.2159959800423698e-05,8.838122026411402e-06,3.5481797574435995e-05
calm,ct_dyads,control_tower,6,3,costs_tech,7296000.0,7296000.0,7296000.0
calm,ct_dyads,control_tower,6,3,costs_stockout,-7030830.609666662,-8665677.501367223,-5395983.717966102
calm,ct_dyads,control_tower,6,3,costs_holding,5220686.970666655,3963262.889717024,6478111.051616287
calm,ct_dyads,control_tower,6,3,scrap_value,3311855.7863333384,2341874.2013504403,4281837.371316236
calm,ct_dyads,control_tower,6,3,bullwhip_DC,-0.8370079337718671,-0.8678912239008958,-0.8061246436428384
calm,ct_dyads,control_tower,6,3,bullwhip_MFG,-2.6798455527885725,-2.8251529388314887,-2.5345381667456564
calm,ct_dyads,control_tower,6,3,bullwhip_CM,-13.397562897833275,-14.415708001958155,-12.379417793708395
calm,ct_downstream_chain,control_tower,6,1,network_profit,8620952.979334004,-6744893.617704619,23986799.576372627
calm,ct_downstream_chain,control_tower,6,1,network_profit_with_inventory,13365808.182048798,3936799.660153622,22794816.703943975
calm,ct_downstream_chain,control_tower,6,1,satisfaction_index,0.0002119905838793216,0.00013290406560811834,0.00029107710215052485
calm,ct_downstream_chain,control_tower,6,1,fill_rate,0.00042203307256443535,0.00027131463803007684,0.0005727515070987939
calm,ct_downstream_chain,control_tower,6,1,retail_on_time_rate,-1.1648176360841884e-05,-5.123583948454341e-05,2.793948676285964e-05
calm,ct_downstream_chain,control_tower,6,1,quality_mean,2.2342502526665846e-05,-3.823991930937583e-06,4.8508996984269274e-05
calm,ct_downstream_chain,control_tower,6,1,costs_tech,7423999.979999999,7423999.979999998,7423999.9799999995
calm,ct_downstream_chain,control_tower,6,1,costs_stockout,-8130576.199666664,-11034001.265196208,-5227151.13413712
calm,ct_downstream_chain,control_tower,6,1,costs_holding,5807063.920333314,4361875.127429004,7252252.713237624
calm,ct_downstream_chain,control_tower,6,1,scrap_value,4001254.973333327,2428211.5599707607,5574298.3866958935
calm,ct_downstream_chain,control_tower,6,1,bullwhip_DC,-0.6788701386372756,-0.7124694911691547,-0.6452707861053966
calm,ct_downstream_chain,control_tower,6,1,bullwhip_MFG,-3.962739964100005,-4.1817233720498255,-3.7437565561501853
calm,ct_downstream_chain,control_tower,6,1,bullwhip_CM,-18.717590853577867,-20.140193084622506,-17.29498862253323
calm,ct_upstream_chain,control_tower,6,1,network_profit,9072428.238000488,-3643767.514764689,21788623.990765665
calm,ct_upstream_chain,control_tower,6,1,network_profit_with_inventory,13340070.704963429,8110858.080399658,18569283.3295272
calm,ct_upstream_chain,control_tower,6,1,satisfaction_index,0.00017810770892726647,0.00013503185451733786,0.00022118356333719507
calm,ct_upstream_chain,control_tower,6,1,fill_rate,0.00033141303707851324,0.00025727192734353063,0.00040555414681349585
calm,ct_upstream_chain,control_tower,6,1,retail_on_time_rate,3.756484409763357e-06,-2.897697810011509e-05,3.64899469196418e-05
calm,ct_upstream_chain,control_tower,6,1,quality_mean,5.637122532541709e-05,2.66941199939264e-05,8.604833065690778e-05
calm,ct_upstream_chain,control_tower,6,1,costs_tech,9984000.0,9984000.0,9984000.0
calm,ct_upstream_chain,control_tower,6,1,costs_stockout,-6384885.113999995,-7812973.475214932,-4956796.752785059
calm,ct_upstream_chain,control_tower,6,1,costs_holding,-1530751.7873333374,-3126933.524209275,65429.94954260043
calm,ct_upstream_chain,control_tower,6,1,scrap_value,53136.23100004196,-1577510.5297780568,1683782.991778141
calm,ct_upstream_chain,control_tower,6,1,bullwhip_DC,-0.0076203450359929965,-0.012687582114434548,-0.002553107957551445
calm,ct_upstream_chain,control_tower,6,1,bullwhip_MFG,-2.201087931343102,-2.3226312918890195,-2.0795445707971845
calm,ct_upstream_chain,control_tower,6,1,bullwhip_CM,-35.78241156670019,-37.6248707366156,-33.93995239678478
calm,bc_scattered,blockchain,6,6,network_profit,-1536000.0,-1536000.0,-1536000.0
calm,bc_scattered,blockchain,6,6,network_profit_with_inventory,-1536000.0,-1536000.0,-1536000.0
calm,bc_scattered,blockchain,6,6,satisfaction_index,0.0,0.0,0.0
calm,bc_scattered,blockchain,6,6,fill_rate,0.0,0.0,0.0
calm,bc_scattered,blockchain,6,6,retail_on_time_rate,0.0,0.0,0.0
calm,bc_scattered,blockchain,6,6,quality_mean,0.0,0.0,0.0
calm,bc_scattered,blockchain,6,6,costs_tech,1536000.0,1536000.0,1536000.0
calm,bc_scattered,blockchain,6,6,costs_stockout,0.0,0.0,0.0
calm,bc_scattered,blockchain,6,6,costs_holding,0.0,0.0,0.0
calm,bc_scattered,blockchain,6,6,scrap_value,0.0,0.0,0.0
calm,bc_scattered,blockchain,6,6,bullwhip_DC,0.0,0.0,0.0
